SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060001,0.3333333333333333,,,
480170060004,2.0,,2.0,
480170060005,1.0,,,
480170060011,8.0,,15.0,
480170060014,,,1.0,
480170060031,1.0,,,
480170060033,3.0,,,
480170060037,1.0,,,
480170060039,1.0,,2.0,
480170060044,1.0,,,
480170060049,63.0,,,
480170060053,0.0,,,
480170060058,1.0,,,
480170060059,26.0,,15.0,
480170060061,2.25,,,
480170060062,0.0,,0.0,
480170060068,6.0,,,
480170060070,105.16666666666667,,,
480170060071,3.25,,,
480170060073,1.0,,,
480170060074,3.0,,,
480170060079,3.0,,,
480170060082,1.0,,1.0,
480170060084,,,1.0,
480170060085,41.4,,,
480170060086,0.5,,,
480170060087,1.0,,,
480170060093,98.0,,,
480170060094,2.25,,,
480170060095,3.0,,3.0,
480170060096,0.6666666666666666,,1.0,
480170060098,6.0,,,
480170060099,1.0,,0.0,
480170060100,39.0,,1.5,
480170060102,2.0,,,
480170060106,4.714285714285714,,2.0,
480170060110,2.0,,1.0,
480170060115,5.4,,,
480170060118,6.0,,,
480170060122,,,9.0,
480170060123,2.25,,6.0,
480170060124,1.6666666666666667,,,
480170060126,2.0,,,
480170060127,9.5,,2.0,1.0
480170060128,1.0,,,
480170060132,5.75,,,
480170060133,0.0,,,
480170060134,1.5,,,
480170060137,0.0,,,
480170060139,1.0,,,
480170060140,4.75,5.0,1.0,
480170060142,4.444444444444445,,2.0,
480170060144,,,3.0,
480170060150,0.0,,26.0,
480170060151,2.0,,,
480170060152,6.411764705882353,,7.666666666666667,
480170060153,64.0,,,
480170060154,15.0,,208.75,
480170060156,2.0,,,
480170060157,1.0,5.0,,
480170060161,22.0,,,
480170060162,61.42857142857143,,,
480170060163,2.25,,,
480170060164,,,2.0,
480170060165,7.0,4.333333333333333,9.0,
480170060166,,,3.0,
480170060168,7.0,,,
480170060169,,,8.0,
480170060171,7.916666666666667,,,
480170060172,0.0,,,
480170060175,4.5,,1.6666666666666667,
480170060176,1.0,,1.0,
480170060177,,,1.0,
480170060178,123.5,,,
480170060179,,,2.0,
480170060182,3.3,,1.0,
480170060183,,,1.0,
480170060184,5.8,,,
480170060187,1.0,,,
480170060189,64.0,,,
480170060193,5.0,,,
480170060194,2.0,,4.0,
480170060198,1.0,,,
480170060199,1.0,,238.42857142857142,
480170060200,2.0,,,
480170060202,32.0,,,
480170060204,12.705882352941176,,1.0,
480170060206,,,2.0,
480170060208,4.666666666666667,,,
480170060210,1.6666666666666667,,,
480170060212,,,0.0,
480170060214,1.25,,1.0,
480170060216,,,2.5,
480170060217,1.0,,2.0,
480170060218,186.0,6.0,5.0,
480170060219,2.0,,,
480170060221,1.0,,,
480170060222,0.0,,,
480170060225,0.5,,1.0,
480170060227,,0.0,2.0,
480170060228,0.0,,,
480170060229,1.0,,,
480170060230,,0.0,0.0,
480170060233,2.0,,1.0,
480170060234,3.6666666666666665,,2.5,
480170060236,0.5,,,
480170060237,3.1666666666666665,,1.8,
480170060238,1.0,,,
480170060239,6.333333333333333,,3.6666666666666665,
480170060241,28.3,5.0,7.333333333333333,
480170060243,243.0,,,
480170060244,,,3.0,
480170060247,19.0,,,
480170060248,2.6666666666666665,,,
480170060251,1.0,,1.0,
480170060252,1.0,,,
480170060257,,,4.0,
480170060258,0.0,,,
480170060259,2.75,,4.0,
480170060262,1.0,,3.0,
480170060263,1.25,,3.0,
480170060268,42.22222222222222,,1.0,
480170060269,1.3333333333333333,6.0,,
480170060270,1.0,,1.0,
480170060271,1.0,6.0,6.0,
480170060272,,,3.0,
480170060273,3.0,,10.0,
480170060274,0.0,,3.0,
480170060277,1.0,,1.0,
