SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060001,7.333333333333333,,,
480170060004,5.0,,2.0,
480170060005,5.0,,,
480170060011,7.333333333333333,,2.0,
480170060014,,,2.0,
480170060031,4.0,,,
480170060033,4.0,,,
480170060037,4.0,,,
480170060039,4.0,,1.0,
480170060044,3.5,,,
480170060049,6.0,,,
480170060053,6.0,,,
480170060058,5.0,,,
480170060059,4.0,,2.3333333333333335,
480170060061,3.5,,,
480170060062,4.0,,2.0,
480170060068,10.0,,,
480170060070,4.666666666666667,,,
480170060071,7.25,,,
480170060073,10.0,,,
480170060074,2.0,,,
480170060079,4.0,,,
480170060082,3.6666666666666665,,2.0,
480170060084,,,2.0,
480170060085,2.6,,,
480170060086,6.5,,,
480170060087,4.0,,,
480170060093,2.5,,,
480170060094,5.25,,,
480170060095,4.0,,4.0,
480170060096,4.0,,1.5,
480170060098,12.666666666666666,,,
480170060099,3.0,,2.5,
480170060100,4.5,,2.0,
480170060102,5.0,,,
480170060106,2.857142857142857,,3.0,
480170060110,3.0,,2.0,
480170060115,4.8,,,
480170060118,7.0,,,
480170060122,,,2.0,
480170060123,6.0,,2.0,
480170060124,4.0,,,
480170060126,5.0,,,
480170060127,4.0,,1.0,3.0
480170060128,4.0,,,
480170060132,4.0,,,
480170060133,3.0,,,
480170060134,3.0,,,
480170060137,4.0,,,
480170060139,2.0,,,
480170060140,3.375,4.0,1.5,
480170060142,3.3333333333333335,,3.0,
480170060144,,,2.0,
480170060150,5.0,,3.0,
480170060151,2.0,,,
480170060152,4.411764705882353,,2.6666666666666665,
480170060153,3.3333333333333335,,,
480170060154,4.0,,2.5,
480170060156,3.0,,,
480170060157,4.0,2.0,,
480170060161,4.666666666666667,,,
480170060162,6.571428571428571,,,
480170060163,4.25,,,
480170060164,,,4.0,
480170060165,5.333333333333333,2.6666666666666665,2.0,
480170060166,,,2.0,
480170060168,11.0,,,
480170060169,,,3.0,
480170060171,3.5833333333333335,,,
480170060172,3.0,,,
480170060175,4.0,,2.0,
480170060176,3.5,,2.0,
480170060177,,,2.0,
480170060178,4.0,,,
480170060179,,,2.0,
480170060182,3.8,,2.5,
