SEZ2011,AGG_COUNT,bedrooms,accommodates,E27,PF1
"480170060001","3","12","22","378","348"
"480170060004","2","4","7","276","232"
"480170060005","1","2","5","14","3"
"480170060011","4","9","24","252","144"
"480170060014","1","1","2","24","32"
"480170060031","1","2","4","97","67"
"480170060033","1","2","4","118","104"
"480170060037","1","1","4","92","89"
"480170060039","2","2","5","408","404"
"480170060044","2","2","7","18","0"
"480170060049","1","2","6","23","25"
"480170060053","1","2","6","53","54"
"480170060058","2","6","10","248","132"
"480170060059","13","18","47","832","260"
"480170060061","4","7","14","332","244"
"480170060062","2","3","6","4","2"
"480170060068","1","5","10","124","98"
"480170060070","6","10","28","48","48"
"480170060071","4","10","29","520","456"
"480170060073","1","4","10","38","35"
"480170060074","1","0","2","24","24"
"480170060079","3","5","12","420","432"
"480170060082","4","6","13","364","328"
"480170060084","1","1","2","4","4"
"480170060085","5","5","13","1225","1195"
"480170060086","2","6","13","192","202"
"480170060087","1","2","4","20","9"
"480170060093","2","2","5","288","254"
"480170060094","4","9","21","256","172"
"480170060095","3","4","12","69","39"
"480170060096","5","6","15","720","705"
"480170060098","3","24","38","39","27"
"480170060099","7","9","20","1267","1407"
"480170060100","4","6","13","260","276"
"480170060102","2","3","10","84","72"
"480170060106","8","9","23","1584","1504"
"480170060110","2","3","5","204","142"
"480170060115","5","11","24","345","335"
"480170060118","1","3","7","121","119"
"480170060122","1","1","2","3","4"
"480170060123","5","11","26","290","120"
"480170060124","3","5","12","972","873"
"480170060126","1","2","5","80","64"
"480170060127","4","4","12","1940","1976"
"480170060128","1","2","4","16","16"
"480170060132","4","7","16","124","64"
"480170060133","1","1","3","48","43"
"480170060134","2","2","6","62","36"
"480170060137","1","1","4","5","7"
"480170060139","1","1","2","132","140"
"480170060140","11","13","34","1793","1958"
"480170060142","10","13","33","750","560"
"480170060144","1","1","2","46","38"
"480170060150","2","3","8","186","178"
"480170060151","1","1","2","59","61"
"480170060152","23","36","91","4324","4439"
"480170060153","3","5","10","120","99"
"480170060154","5","5","14","260","260"
"480170060156","1","1","3","17","13"
"480170060157","2","3","6","138","122"
"480170060161","3","5","14","294","282"
"480170060162","7","26","46","3115","3031"
"480170060163","4","8","17","136","100"
"480170060164","1","1","4","113","109"
"480170060165","8","11","28","696","528"
"480170060166","1","2","2","79","71"
"480170060168","1","5","11","0","0"
"480170060169","1","1","3","2","2"
"480170060171","12","14","43","912","780"
"480170060172","1","1","3","108","109"
"480170060175","5","6","14","1195","995"
"480170060176","4","4","11","308","396"
"480170060177","1","1","2","61","67"
"480170060178","2","3","8","38","34"
"480170060179","1","1","2","121","115"
"480170060182","12","16","43","1680","1692"
"480170060183","1","1","2","30","24"
"480170060184","5","10","31","75","45"
"480170060187","1","3","5","157","167"
"480170060189","4","6","19","492","484"
"480170060193","2","4","7","62","46"
"480170060194","2","2","5","242","254"
"480170060198","1","4","8","32","33"
"480170060199","9","11","23","1206","1089"
"480170060200","1","1","4","9","7"
"480170060202","1","1","2","24","5"
"480170060204","19","30","77","3857","4389"
"480170060206","1","1","3","146","142"
"480170060208","3","8","17","138","60"
"480170060210","3","6","16","642","510"
"480170060212","1","1","2","124","161"
"480170060214","6","10","18","780","714"
"480170060216","2","2","5","302","366"
"480170060217","2","2","6","364","376"
"480170060218","6","20","30","456","444"
"480170060219","1","1","2","265","176"
"480170060221","2","5","10","110","80"
"480170060222","1","1","2","13","4"
"480170060225","4","5","11","672","708"
"480170060227","2","2","4","48","46"
"480170060228","1","1","4","43","44"
"480170060229","1","1","2","5","5"
"480170060230","3","3","7","123","120"
"480170060233","3","3","7","342","429"
"480170060234","8","9","28","1344","1280"
"480170060236","2","3","9","202","200"
"480170060237","11","15","31","2794","2464"
"480170060238","1","1","4","0","0"
"480170060239","6","8","24","252","222"
"480170060241","16","22","56","1984","2192"
"480170060243","1","2","4","174","174"
"480170060244","2","2","4","116","144"
"480170060247","1","3","6","11","11"
"480170060248","3","4","10","201","177"
"480170060251","3","6","13","270","267"
"480170060252","1","1","3","323","335"
"480170060257","2","2","4","302","284"
"480170060258","1","1","4","23","23"
"480170060259","5","10","22","400","320"
"480170060262","3","5","9","336","282"
"480170060263","5","10","24","625","380"
"480170060268","10","15","39","1490","1430"
"480170060269","4","7","15","160","164"
"480170060270","2","3","6","278","292"
"480170060271","4","6","14","372","372"
"480170060272","2","2","3","282","202"
"480170060273","8","7","27","248","208"
"480170060274","2","3","5","318","302"
"480170060277","2","3","8","190","196"
"480170060278","3","1","6","339","363"
"480170060279","6","10","21","396","444"
"480170060280","2","2","4","280","232"
"480170060281","1","1","2","138","109"
"480170060282","10","15","28","2230","2060"
"480170060283","1","1","2","2","2"
"480170060284","6","8","21","672","384"
"480170060286","1","2","6","194","207"
"480170060287","46","63","178","3312","2300"
"480170060289","30","36","100","5460","4710"
"480170060290","2","2","5","50","54"
"480170060291","19","32","83","627","570"
"480170060292","29","41","111","2900","2755"
"480170060293","67","104","272","9581","7303"
"480170060294","10","11","31","2930","2520"
"480170060296","5","9","21","665","800"
"480170060299","2","3","9","64","42"
"480170060300","2","2","3","274","302"
"480170060301","11","13","33","11","0"
"480170060302","2","2","3","332","286"
"480170060306","1","1","2","157","135"
"480170060307","4","4","11","24","20"
"480170060308","17","22","56","4726","5032"
"480170060309","8","9","18","3064","2304"
"480170060310","6","10","21","1224","852"
"480170060313","5","7","16","910","930"
"480170060314","3","3","10","495","348"
"480170060315","2","2","7","250","302"
"480170060316","1","0","2","30","31"
"480170060317","9","12","30","1116","1215"
"480170060318","1","1","2","46","44"
"480170060320","1","2","4","54","54"
"480170060323","2","9","21","50","42"
"480170060324","2","14","24","120","110"
"480170060328","2","2","5","494","478"
"480170060329","3","3","8","453","438"
"480170060332","1","2","4","108","90"
"480170060333","1","1","2","59","5"
"480170060335","2","2","6","148","118"
"480170060336","2","3","7","350","408"
"480170060337","6","12","30","42","30"
"480170060339","12","16","38","924","492"
"480170060340","7","8","22","378","238"
"480170060341","4","7","14","36","36"
"480170060342","2","3","9","186","170"
"480170060343","9","10","28","2304","2025"
"480170060348","1","1","2","538","532"
"480170060349","2","2","5","600","590"
"480170060350","1","1","4","19","18"
"480170060353","4","5","14","8","8"
"480170060357","9","9","21","1071","756"
"480170060358","2","3","7","168","124"
"480170060360","12","17","37","612","624"
"480170060361","17","29","73","2686","2618"
"480170060362","36","49","122","3564","2844"
"480170060364","2","2","6","250","238"
"480170060366","7","11","31","364","315"
"480170060367","13","18","46","1144","1066"
"480170060368","8","12","28","624","712"
"480170060369","13","18","57","1781","1664"
"480170060370","2","3","6","62","66"
"480170060371","11","18","43","264","198"
"480170060372","2","3","6","236","226"
"480170060374","15","19","55","1170","675"
"480170060376","1","2","4","19","17"
"480170060379","2","2","6","264","250"
"480170060381","52","71","191","8840","9048"
"480170060382","12","17","46","936","504"
"480170060383","9","14","32","486","324"
"480170060384","17","35","83","2023","1496"
"480170060385","1","1","3","11","7"
"480170060388","1","0","1","60","57"
"480170060389","1","2","6","68","67"
"480170060390","6","5","15","594","618"
"480170060391","2","2","5","438","426"
"480170060392","2","2","5","220","228"
"480170060393","24","35","79","5784","4368"
"480170060394","7","9","25","371","343"
"480170060395","1","1","2","31","32"
"480170060397","2","2","4","108","106"
"480170060402","7","12","31","329","322"
"480170060403","25","56","132","2050","2250"
"480170060406","5","5","16","1395","1355"
"480170060407","4","6","12","204","160"
"480170060408","16","20","53","2288","2304"
"480170060409","45","63","159","6435","6030"
"480170060410","11","12","35","737","506"
"480170060412","19","29","90","1881","1615"
"480170060415","2","2","6","254","232"
"480170060416","7","12","28","168","154"
"480170060418","5","8","19","375","370"
"480170060419","5","11","42","35","35"
"480170060420","3","3","9","231","228"
"480170060421","25","33","107","875","1100"
"480170060422","2","4","9","12","4"
"480170060425","36","42","120","6012","5148"
"480170060428","4","14","36","56","28"
"480170060430","1","3","4","31","25"
"480170060431","14","23","53","1848","812"
"480170060432","6","11","30","276","264"
"480170060433","21","45","112","2625","2037"
"480170060434","9","42","121","117","108"
"480170060435","29","40","105","6322","7540"
"480170060436","227","335","857","152090","132795"
"480170060437","9","15","38","288","297"
"480170060440","4","5","13","504","412"
"480170060443","1","3","5","81","62"
"480170060444","19","32","94","1064","1121"
"480170060446","3","5","12","561","558"
"480170060448","34","46","114","3638","4080"
"480170060449","3","6","21","582","462"
"480170060450","15","22","57","945","735"
"480170060452","4","7","16","28","24"
"480170060453","1","1","4","149","141"
"480170060455","7","10","26","2338","2114"
"480170060456","14","31","71","476","266"
"480170060458","1","1","2","11","9"
"480170060459","1","1","4","171","177"
"480170060460","64","88","239","15296","17024"
"480170060461","1","1","2","132","125"
"480170060464","2","1","5","338","314"
"480170060465","1","1","2","6","7"
"480170060466","9","14","34","990","882"
"480170060469","1","1","4","148","142"
"480170060470","2","3","8","382","396"
"480170060471","4","4","12","384","464"
"480170060472","10","16","40","80","60"
"480170060473","5","3","16","985","830"
"480170060474","11","14","33","1309","1331"
"480170060475","34","57","162","1666","1632"
"480170060476","2","2","4","0","0"
"480170060477","27","51","152","2565","2646"
"480170060478","2","3","8","172","174"
"480170060479","18","28","71","0","0"
"480170060480","21","26","78","1449","1344"
"480170060482","2","5","13","34","28"
"480170060485","3","5","12","201","198"
"480170060488","3","3","6","513","453"
"480170060489","6","10","23","300","324"
"480170060490","1","1","2","55","53"
"480170060491","11","18","48","407","385"
"480170060492","22","36","99","1540","1254"
"480170060493","20","23","63","860","780"
"480170060495","1","1","2","151","157"
"480170060497","2","2","4","128","120"
"480170060499","19","29","70","1729","1691"
"480170060501","5","7","24","105","95"
"480170060502","1","1","4","69","72"
