SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1
"480170060001","3","2","3","3","0","60","276","348"
"480170060004","2","0","2","1","0","44","160","232"
"480170060005","1","0","1","1","0","2","0","3"
"480170060011","4","4","4","3","4","28","76","144"
"480170060014","1","1","1","0","0","6","24","32"
"480170060031","1","0","1","1","0","10","49","67"
"480170060033","1","1","1","1","1","9","79","104"
"480170060037","1","0","1","1","0","9","69","89"
"480170060039","2","1","2","1","0","170","206","404"
"480170060044","2","0","2","2","0","0","0","0"
"480170060049","1","1","1","1","1","1","21","25"
"480170060053","1","0","1","1","0","14","35","54"
"480170060058","2","1","2","2","0","10","82","132"
"480170060059","13","13","13","10","13","39","117","260"
"480170060061","4","3","3","4","3","36","156","244"
"480170060062","2","0","2","1","0","0","2","2"
"480170060068","1","1","1","1","1","27","53","98"
"480170060070","6","6","6","6","6","12","30","48"
"480170060071","4","3","3","4","3","36","368","456"
"480170060073","1","0","1","1","0","1","30","35"
"480170060074","1","1","1","1","1","8","14","24"
"480170060079","3","1","2","3","1","105","288","432"
"480170060082","4","1","3","3","0","32","248","328"
"480170060084","1","1","1","0","0","1","1","4"
"480170060085","5","3","5","5","3","340","605","1195"
"480170060086","2","1","2","2","0","14","162","202"
"480170060087","1","1","1","1","0","1","7","9"
"480170060093","2","2","2","2","2","74","160","254"
"480170060094","4","2","4","4","1","24","96","172"
"480170060095","3","3","3","1","3","0","24","39"
"480170060096","5","2","5","3","0","20","525","705"
"480170060098","3","3","3","3","3","6","9","27"
"480170060099","7","2","7","5","0","196","1008","1407"
"480170060100","4","2","3","2","2","44","208","276"
"480170060102","2","0","2","2","0","10","48","72"
"480170060106","8","5","8","7","5","288","1096","1504"
"480170060110","2","1","2","1","0","14","112","142"
"480170060115","5","3","5","5","1","50","225","335"
"480170060118","1","1","1","1","1","18","85","119"
"480170060122","1","1","1","0","1","0","3","4"
"480170060123","5","4","5","4","2","35","35","120"
"480170060124","3","2","3","3","1","135","663","873"
"480170060126","1","0","1","1","0","5","53","64"
"480170060127","4","1","3","2","1","164","1664","1976"
"480170060128","1","0","1","1","0","8","6","16"
"480170060132","4","2","3","4","1","8","36","64"
"480170060133","1","1","1","1","0","3","39","43"
"480170060134","2","0","2","2","0","2","28","36"
"480170060137","1","1","1","1","0","0","4","7"
"480170060139","1","0","1","1","0","26","100","140"
"480170060140","11","5","11","8","5","341","1331","1958"
"480170060142","10","7","10","9","5","70","370","560"
"480170060144","1","1","1","0","1","6","27","38"
"480170060150","2","2","2","1","1","18","150","178"
"480170060151","1","0","1","1","0","2","55","61"
"480170060152","23","13","22","17","11","552","3358","4439"
"480170060153","3","1","3","3","1","33","57","99"
"480170060154","5","4","5","1","4","60","155","260"
"480170060156","1","0","1","1","0","5","5","13"
"480170060157","2","1","2","1","1","18","88","122"
"480170060161","3","2","3","3","1","54","180","282"
"480170060162","7","5","6","7","4","623","2177","3031"
"480170060163","4","4","4","4","1","0","72","100"
"480170060164","1","1","1","0","0","11","91","109"
"480170060165","8","7","8","3","7","72","320","528"
"480170060166","1","1","1","0","1","11","58","71"
"480170060168","1","1","1","1","1","0","0","0"
"480170060169","1","1","1","0","1","0","1","2"
"480170060171","12","9","12","12","8","168","576","780"
"480170060172","1","1","1","1","0","6","90","109"
"480170060175","5","1","5","2","1","125","775","995"
"480170060176","4","0","3","2","0","68","276","396"
"480170060177","1","0","1","0","0","19","44","67"
"480170060178","2","2","2","2","2","20","8","34"
"480170060179","1","1","1","0","0","7","100","115"
"480170060182","12","6","12","10","4","456","1104","1692"
"480170060183","1","0","1","0","0","2","17","24"
"480170060184","5","3","5","5","2","10","30","45"
"480170060187","1","0","1","1","0","34","123","167"
"480170060189","4","3","4","4","3","128","292","484"
"480170060193","2","1","2","2","1","0","44","46"
"480170060194","2","2","2","1","1","54","166","254"
"480170060198","1","0","1","1","0","2","28","33"
"480170060199","9","7","9","2","6","378","603","1089"
"480170060200","1","0","1","1","0","1","6","7"
"480170060202","1","1","1","1","1","1","1","5"
"480170060204","19","8","18","17","4","684","2983","4389"
"480170060206","1","0","1","0","0","24","109","142"
"480170060208","3","1","3","3","1","6","45","60"
"480170060210","3","2","2","3","0","99","381","510"
"480170060212","1","1","1","0","0","28","111","161"
"480170060214","6","3","5","4","1","168","450","714"
"480170060216","2","1","2","0","1","94","244","366"
"480170060217","2","0","2","1","0","50","292","376"
"480170060218","6","6","6","2","5","48","252","444"
"480170060219","1","0","1","1","0","21","134","176"
"480170060221","2","2","2","2","0","20","44","80"
"480170060222","1","1","1","1","0","2","2","4"
"480170060225","4","1","3","2","0","340","332","708"
"480170060227","2","1","2","0","0","6","38","46"
"480170060228","1","0","1","1","0","2","38","44"
"480170060229","1","1","1","1","0","1","4","5"
"480170060230","3","3","3","0","0","36","75","120"
"480170060233","3","1","3","1","0","69","309","429"
"480170060234","8","4","8","6","3","176","1008","1280"
"480170060236","2","0","1","2","0","36","138","200"
"480170060237","11","4","11","6","4","407","1793","2464"
"480170060238","1","0","1","1","0","0","0","0"
"480170060239","6","5","6","3","3","18","162","222"
"480170060241","16","12","14","10","11","512","1488","2192"
"480170060243","1","1","1","1","1","10","153","174"
"480170060244","2","2","2","0","2","22","108","144"
"480170060247","1","1","0","1","1","0","10","11"
"480170060248","3","3","2","3","2","36","108","177"
"480170060251","3","1","3","2","0","42","207","267"
"480170060252","1","0","1","1","0","196","122","335"
"480170060257","2","2","2","0","2","20","232","284"
"480170060258","1","1","1","1","0","3","17","23"
"480170060259","5","5","5","4","4","45","225","320"
"480170060262","3","1","3","2","1","51","198","282"
"480170060263","5","2","5","4","1","95","265","380"
"480170060268","10","8","10","9","4","440","740","1430"
"480170060269","4","3","4","3","2","60","84","164"
"480170060270","2","2","2","1","0","72","198","292"
"480170060271","4","2","3","2","2","80","252","372"
"480170060272","2","2","2","0","2","46","148","202"
"480170060273","8","6","7","6","5","40","152","208"
"480170060274","2","2","2","1","1","190","98","302"
"480170060277","2","2","2","1","0","36","138","196"
"480170060278","3","1","3","2","1","78","240","363"
"480170060279","6","1","6","4","1","162","204","444"
"480170060280","2","2","2","1","2","58","138","232"
"480170060281","1","1","1","0","0","67","37","109"
"480170060282","10","4","10","6","1","460","1350","2060"
"480170060283","1","1","0","1","1","2","0","2"
"480170060284","6","2","6","4","2","108","240","384"
"480170060286","1","0","1","1","0","30","169","207"
"480170060287","46","37","43","42","31","736","1380","2300"
"480170060289","30","18","30","23","14","1140","2880","4710"
"480170060290","2","0","2","1","0","16","30","54"
"480170060291","19","18","19","14","9","133","342","570"
"480170060292","29","21","29","25","14","1073","1450","2755"
"480170060293","67","52","61","57","40","1541","5092","7303"
"480170060294","10","7","8","8","7","340","1860","2520"
"480170060296","5","1","5","4","0","95","605","800"
"480170060299","2","0","2","2","0","14","24","42"
"480170060300","2","1","2","0","0","54","222","302"
"480170060301","11","9","11","7","8","0","0","0"
"480170060302","2","0","2","2","0","112","152","286"
"480170060306","1","1","1","1","0","35","95","135"
"480170060307","4","2","4","2","2","20","0","20"
"480170060308","17","12","17","12","5","1445","3196","5032"
"480170060309","8","5","8","3","4","456","1632","2304"
"480170060310","6","4","6","5","3","132","636","852"
"480170060313","5","4","5","3","4","515","330","930"
"480170060314","3","2","3","2","1","93","240","348"
"480170060315","2","1","2","1","0","120","142","302"
"480170060316","1","1","1","1","1","2","25","31"
"480170060317","9","5","9","6","2","207","909","1215"
"480170060318","1","1","1","0","0","33","9","44"
"480170060320","1","0","1","1","0","7","43","54"
"480170060323","2","1","2","1","1","8","22","42"
"480170060324","2","2","2","2","1","12","86","110"
"480170060328","2","2","2","0","1","56","398","478"
"480170060329","3","1","3","1","0","66","303","438"
"480170060332","1","0","1","1","0","14","68","90"
"480170060333","1","0","1","1","0","0","4","5"
"480170060335","2","1","2","1","1","14","86","118"
"480170060336","2","2","2","2","1","46","322","408"
"480170060337","6","5","6","6","5","30","0","30"
"480170060339","12","10","12","9","8","0","468","492"
"480170060340","7","6","7","2","6","35","161","238"
"480170060341","4","3","4","1","3","0","24","36"
"480170060342","2","1","2","2","1","24","126","170"
"480170060343","9","6","9","5","4","297","1611","2025"
"480170060348","1","0","1","0","0","88","402","532"
"480170060349","2","1","2","1","0","74","466","590"
"480170060350","1","0","1","1","0","0","16","18"
"480170060353","4","1","4","3","0","8","0","8"
"480170060357","9","2","9","8","2","261","414","756"
"480170060358","2","1","2","1","0","30","88","124"
"480170060360","12","7","12","11","5","228","324","624"
"480170060361","17","11","15","17","6","850","1649","2618"
"480170060362","36","20","34","29","10","468","2016","2844"
"480170060364","2","0","2","1","0","106","132","238"
"480170060366","7","5","7","7","5","119","182","315"
"480170060367","13","12","11","10","10","208","728","1066"
"480170060368","8","4","7","8","4","232","384","712"
"480170060369","13","9","11","11","5","520","1027","1664"
"480170060370","2","2","2","1","0","14","48","66"
"480170060371","11","9","10","9","7","33","154","198"
"480170060372","2","0","1","1","0","60","144","226"
"480170060374","15","10","14","14","9","165","360","675"
"480170060376","1","1","1","1","1","6","7","17"
"480170060379","2","2","1","1","2","58","166","250"
"480170060381","52","40","46","49","30","2392","5200","9048"
"480170060382","12","8","10","9","7","180","276","504"
"480170060383","9","5","8","7","3","54","198","324"
"480170060384","17","16","16","6","6","289","1037","1496"
"480170060385","1","0","1","1","0","0","6","7"
"480170060388","1","1","1","1","0","7","44","57"
"480170060389","1","0","1","1","0","4","52","67"
"480170060390","6","2","5","3","0","78","504","618"
"480170060391","2","1","2","1","0","40","358","426"
"480170060392","2","1","2","1","0","90","136","228"
"480170060393","24","16","21","20","12","1200","2784","4368"
"480170060394","7","6","6","7","4","42","266","343"
"480170060395","1","1","1","0","0","21","9","32"
"480170060397","2","0","2","0","0","10","90","106"
"480170060402","7","4","7","5","2","133","140","322"
"480170060403","25","18","24","25","14","1100","900","2250"
"480170060406","5","2","5","3","0","180","1075","1355"
"480170060407","4","3","4","3","1","28","128","160"
"480170060408","16","10","15","13","5","688","1392","2304"
"480170060409","45","29","45","31","21","2430","2790","6030"
"480170060410","11","8","10","7","5","319","187","506"
"480170060412","19","14","17","17","11","798","703","1615"
"480170060415","2","2","2","2","0","28","168","232"
"480170060416","7","5","7","7","4","56","91","154"
"480170060418","5","4","4","3","2","80","250","370"
"480170060419","5","4","5","1","4","0","25","35"
"480170060420","3","2","2","2","0","39","177","228"
"480170060421","25","19","24","25","17","500","425","1100"
"480170060422","2","1","2","2","0","4","0","4"
"480170060425","36","31","34","35","25","1800","2664","5148"
"480170060428","4","4","4","1","4","8","12","28"
"480170060430","1","0","1","1","0","6","13","25"
"480170060431","14","11","14","14","10","182","546","812"
"480170060432","6","4","5","6","3","42","186","264"
"480170060433","21","17","21","19","14","840","861","2037"
"480170060434","9","9","9","2","9","63","45","108"
"480170060435","29","19","26","28","16","1479","5249","7540"
"480170060436","227","161","215","212","121","36320","74456","132795"
"480170060437","9","7","8","7","4","18","234","297"
"480170060440","4","1","4","2","0","64","312","412"
"480170060443","1","1","1","1","0","2","50","62"
"480170060444","19","15","18","18","12","437","551","1121"
"480170060446","3","1","3","3","0","87","438","558"
"480170060448","34","24","29","33","19","1700","1938","4080"
"480170060449","3","2","3","3","0","48","381","462"
"480170060450","15","11","12","14","10","345","360","735"
"480170060452","4","4","3","4","3","4","20","24"
"480170060453","1","0","1","1","0","18","110","141"
"480170060455","7","5","5","2","5","434","1470","2114"
"480170060456","14","13","14","13","9","70","56","266"
"480170060458","1","1","1","1","0","2","7","9"
"480170060459","1","0","1","1","0","52","105","177"
"480170060460","64","40","59","58","32","3904","9600","17024"
"480170060461","1","0","1","0","0","39","81","125"
"480170060464","2","0","2","2","0","122","180","314"
"480170060465","1","0","1","0","0","3","4","7"
