SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060001","3","2","3","3","0","60","276","348","12","22","378"
"480170060004","2","0","2","1","0","44","160","232","4","7","276"
"480170060005","1","0","1","1","0","2","0","3","2","5","14"
"480170060011","4","4","4","3","4","28","76","144","9","24","252"
"480170060014","1","1","1","0","0","6","24","32","1","2","24"
"480170060031","1","0","1","1","0","10","49","67","2","4","97"
"480170060033","1","1","1","1","1","9","79","104","2","4","118"
"480170060037","1","0","1","1","0","9","69","89","1","4","92"
"480170060039","2","1","2","1","0","170","206","404","2","5","408"
"480170060044","2","0","2","2","0","0","0","0","2","7","18"
"480170060049","1","1","1","1","1","1","21","25","2","6","23"
"480170060053","1","0","1","1","0","14","35","54","2","6","53"
"480170060058","2","1","2","2","0","10","82","132","6","10","248"
"480170060059","13","13","13","10","13","39","117","260","18","47","832"
"480170060061","4","3","3","4","3","36","156","244","7","14","332"
"480170060062","2","0","2","1","0","0","2","2","3","6","4"
"480170060068","1","1","1","1","1","27","53","98","5","10","124"
"480170060070","6","6","6","6","6","12","30","48","10","28","48"
"480170060071","4","3","3","4","3","36","368","456","10","29","520"
"480170060073","1","0","1","1","0","1","30","35","4","10","38"
"480170060074","1","1","1","1","1","8","14","24","0","2","24"
"480170060079","3","1","2","3","1","105","288","432","5","12","420"
"480170060082","4","1","3","3","0","32","248","328","6","13","364"
"480170060084","1","1","1","0","0","1","1","4","1","2","4"
"480170060085","5","3","5","5","3","340","605","1195","5","13","1225"
"480170060086","2","1","2","2","0","14","162","202","6","13","192"
"480170060087","1","1","1","1","0","1","7","9","2","4","20"
"480170060093","2","2","2","2","2","74","160","254","2","5","288"
"480170060094","4","2","4","4","1","24","96","172","9","21","256"
"480170060095","3","3","3","1","3","0","24","39","4","12","69"
"480170060096","5","2","5","3","0","20","525","705","6","15","720"
"480170060098","3","3","3","3","3","6","9","27","24","38","39"
"480170060099","7","2","7","5","0","196","1008","1407","9","20","1267"
"480170060100","4","2","3","2","2","44","208","276","6","13","260"
"480170060102","2","0","2","2","0","10","48","72","3","10","84"
"480170060106","8","5","8","7","5","288","1096","1504","9","23","1584"
"480170060110","2","1","2","1","0","14","112","142","3","5","204"
"480170060115","5","3","5","5","1","50","225","335","11","24","345"
"480170060118","1","1","1","1","1","18","85","119","3","7","121"
"480170060122","1","1","1","0","1","0","3","4","1","2","3"
"480170060123","5","4","5","4","2","35","35","120","11","26","290"
"480170060124","3","2","3","3","1","135","663","873","5","12","972"
"480170060126","1","0","1","1","0","5","53","64","2","5","80"
"480170060127","4","1","3","2","1","164","1664","1976","4","12","1940"
"480170060128","1","0","1","1","0","8","6","16","2","4","16"
"480170060132","4","2","3","4","1","8","36","64","7","16","124"
"480170060133","1","1","1","1","0","3","39","43","1","3","48"
"480170060134","2","0","2","2","0","2","28","36","2","6","62"
"480170060137","1","1","1","1","0","0","4","7","1","4","5"
"480170060139","1","0","1","1","0","26","100","140","1","2","132"
"480170060140","11","5","11","8","5","341","1331","1958","13","34","1793"
"480170060142","10","7","10","9","5","70","370","560","13","33","750"
"480170060144","1","1","1","0","1","6","27","38","1","2","46"
"480170060150","2","2","2","1","1","18","150","178","3","8","186"
"480170060151","1","0","1","1","0","2","55","61","1","2","59"
"480170060152","23","13","22","17","11","552","3358","4439","36","91","4324"
"480170060153","3","1","3","3","1","33","57","99","5","10","120"
"480170060154","5","4","5","1","4","60","155","260","5","14","260"
"480170060156","1","0","1","1","0","5","5","13","1","3","17"
"480170060157","2","1","2","1","1","18","88","122","3","6","138"
"480170060161","3","2","3","3","1","54","180","282","5","14","294"
"480170060162","7","5","6","7","4","623","2177","3031","26","46","3115"
"480170060163","4","4","4","4","1","0","72","100","8","17","136"
"480170060164","1","1","1","0","0","11","91","109","1","4","113"
"480170060165","8","7","8","3","7","72","320","528","11","28","696"
"480170060166","1","1","1","0","1","11","58","71","2","2","79"
"480170060168","1","1","1","1","1","0","0","0","5","11","0"
"480170060169","1","1","1","0","1","0","1","2","1","3","2"
"480170060171","12","9","12","12","8","168","576","780","14","43","912"
"480170060172","1","1","1","1","0","6","90","109","1","3","108"
"480170060175","5","1","5","2","1","125","775","995","6","14","1195"
"480170060176","4","0","3","2","0","68","276","396","4","11","308"
"480170060177","1","0","1","0","0","19","44","67","1","2","61"
"480170060178","2","2","2","2","2","20","8","34","3","8","38"
"480170060179","1","1","1","0","0","7","100","115","1","2","121"
"480170060182","12","6","12","10","4","456","1104","1692","16","43","1680"
"480170060183","1","0","1","0","0","2","17","24","1","2","30"
"480170060184","5","3","5","5","2","10","30","45","10","31","75"
"480170060187","1","0","1","1","0","34","123","167","3","5","157"
"480170060189","4","3","4","4","3","128","292","484","6","19","492"
"480170060193","2","1","2","2","1","0","44","46","4","7","62"
"480170060194","2","2","2","1","1","54","166","254","2","5","242"
"480170060198","1","0","1","1","0","2","28","33","4","8","32"
"480170060199","9","7","9","2","6","378","603","1089","11","23","1206"
"480170060200","1","0","1","1","0","1","6","7","1","4","9"
"480170060202","1","1","1","1","1","1","1","5","1","2","24"
"480170060204","19","8","18","17","4","684","2983","4389","30","77","3857"
"480170060206","1","0","1","0","0","24","109","142","1","3","146"
"480170060208","3","1","3","3","1","6","45","60","8","17","138"
"480170060210","3","2","2","3","0","99","381","510","6","16","642"
"480170060212","1","1","1","0","0","28","111","161","1","2","124"
"480170060214","6","3","5","4","1","168","450","714","10","18","780"
"480170060216","2","1","2","0","1","94","244","366","2","5","302"
"480170060217","2","0","2","1","0","50","292","376","2","6","364"
"480170060218","6","6","6","2","5","48","252","444","20","30","456"
"480170060219","1","0","1","1","0","21","134","176","1","2","265"
"480170060221","2","2","2","2","0","20","44","80","5","10","110"
"480170060222","1","1","1","1","0","2","2","4","1","2","13"
"480170060225","4","1","3","2","0","340","332","708","5","11","672"
"480170060227","2","1","2","0","0","6","38","46","2","4","48"
"480170060228","1","0","1","1","0","2","38","44","1","4","43"
"480170060229","1","1","1","1","0","1","4","5","1","2","5"
"480170060230","3","3","3","0","0","36","75","120","3","7","123"
"480170060233","3","1","3","1","0","69","309","429","3","7","342"
"480170060234","8","4","8","6","3","176","1008","1280","9","28","1344"
"480170060236","2","0","1","2","0","36","138","200","3","9","202"
"480170060237","11","4","11","6","4","407","1793","2464","15","31","2794"
"480170060238","1","0","1","1","0","0","0","0","1","4","0"
"480170060239","6","5","6","3","3","18","162","222","8","24","252"
"480170060241","16","12","14","10","11","512","1488","2192","22","56","1984"
"480170060243","1","1","1","1","1","10","153","174","2","4","174"
"480170060244","2","2","2","0","2","22","108","144","2","4","116"
"480170060247","1","1","0","1","1","0","10","11","3","6","11"
"480170060248","3","3","2","3","2","36","108","177","4","10","201"
"480170060251","3","1","3","2","0","42","207","267","6","13","270"
"480170060252","1","0","1","1","0","196","122","335","1","3","323"
"480170060257","2","2","2","0","2","20","232","284","2","4","302"
"480170060258","1","1","1","1","0","3","17","23","1","4","23"
"480170060259","5","5","5","4","4","45","225","320","10","22","400"
"480170060262","3","1","3","2","1","51","198","282","5","9","336"
"480170060263","5","2","5","4","1","95","265","380","10","24","625"
"480170060268","10","8","10","9","4","440","740","1430","15","39","1490"
"480170060269","4","3","4","3","2","60","84","164","7","15","160"
"480170060270","2","2","2","1","0","72","198","292","3","6","278"
"480170060271","4","2","3","2","2","80","252","372","6","14","372"
"480170060272","2","2","2","0","2","46","148","202","2","3","282"
"480170060273","8","6","7","6","5","40","152","208","7","27","248"
"480170060274","2","2","2","1","1","190","98","302","3","5","318"
"480170060277","2","2","2","1","0","36","138","196","3","8","190"
"480170060278","3","1","3","2","1","78","240","363","1","6","339"
"480170060279","6","1","6","4","1","162","204","444","10","21","396"
"480170060280","2","2","2","1","2","58","138","232","2","4","280"
"480170060281","1","1","1","0","0","67","37","109","1","2","138"
"480170060282","10","4","10","6","1","460","1350","2060","15","28","2230"
"480170060283","1","1","0","1","1","2","0","2","1","2","2"
"480170060284","6","2","6","4","2","108","240","384","8","21","672"
"480170060286","1","0","1","1","0","30","169","207","2","6","194"
"480170060287","46","37","43","42","31","736","1380","2300","63","178","3312"
"480170060289","30","18","30","23","14","1140","2880","4710","36","100","5460"
"480170060290","2","0","2","1","0","16","30","54","2","5","50"
"480170060291","19","18","19","14","9","133","342","570","32","83","627"
"480170060292","29","21","29","25","14","1073","1450","2755","41","111","2900"
"480170060293","67","52","61","57","40","1541","5092","7303","104","272","9581"
"480170060294","10","7","8","8","7","340","1860","2520","11","31","2930"
"480170060296","5","1","5","4","0","95","605","800","9","21","665"
"480170060299","2","0","2","2","0","14","24","42","3","9","64"
"480170060300","2","1","2","0","0","54","222","302","2","3","274"
"480170060301","11","9","11","7","8","0","0","0","13","33","11"
"480170060302","2","0","2","2","0","112","152","286","2","3","332"
"480170060306","1","1","1","1","0","35","95","135","1","2","157"
"480170060307","4","2","4","2","2","20","0","20","4","11","24"
"480170060308","17","12","17","12","5","1445","3196","5032","22","56","4726"
"480170060309","8","5","8","3","4","456","1632","2304","9","18","3064"
"480170060310","6","4","6","5","3","132","636","852","10","21","1224"
"480170060313","5","4","5","3","4","515","330","930","7","16","910"
"480170060314","3","2","3","2","1","93","240","348","3","10","495"
"480170060315","2","1","2","1","0","120","142","302","2","7","250"
"480170060316","1","1","1","1","1","2","25","31","0","2","30"
"480170060317","9","5","9","6","2","207","909","1215","12","30","1116"
"480170060318","1","1","1","0","0","33","9","44","1","2","46"
"480170060320","1","0","1","1","0","7","43","54","2","4","54"
"480170060323","2","1","2","1","1","8","22","42","9","21","50"
"480170060324","2","2","2","2","1","12","86","110","14","24","120"
"480170060328","2","2","2","0","1","56","398","478","2","5","494"
"480170060329","3","1","3","1","0","66","303","438","3","8","453"
"480170060332","1","0","1","1","0","14","68","90","2","4","108"
"480170060333","1","0","1","1","0","0","4","5","1","2","59"
