census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060001","3","3","3","0","753","60","276","348","120","378","5","12","22"
"480170060004","2","2","1","0","506","44","160","232","80","276","4","4","7"
"480170060005","1","1","1","0","3","2","0","3","1","14","1","2","5"
"480170060011","4","4","3","4","364","28","76","144","144","252","33","9","24"
"480170060014","1","1","0","0","68","6","24","32","9","24","1","1","2"
"480170060031","1","1","1","0","145","10","49","67","24","97","1","2","4"
"480170060033","1","1","1","1","273","9","79","104","61","118","3","2","4"
"480170060037","1","1","1","0","194","9","69","89","17","92","1","1","4"
"480170060039","2","2","1","0","876","170","206","404","112","408","3","2","5"
"480170060044","2","2","2","0","0","0","0","0","6","18","4","2","7"
"480170060049","1","1","1","1","67","1","21","25","7","23","4","2","6"
"480170060053","1","1","1","0","99","14","35","54","16","53","1","2","6"
"480170060058","2","2","2","0","378","10","82","132","106","248","2","6","10"
"480170060059","13","13","10","13","754","39","117","260","286","832","177","18","47"
"480170060061","4","3","4","3","520","36","156","244","92","332","10","7","14"
"480170060062","2","2","1","0","2","0","2","2","4","4","4","3","6"
"480170060068","1","1","1","1","218","27","53","98","58","124","6","5","10"
"480170060070","6","6","6","6","114","12","30","48","24","48","51","10","28"
"480170060071","4","3","4","3","952","36","368","456","160","520","8","10","29"
"480170060073","1","1","1","0","79","1","30","35","18","38","1","4","10"
"480170060074","1","1","1","1","53","8","14","24","4","24","2","0","2"
"480170060079","3","2","3","1","1062","105","288","432","81","420","6","5","12"
"480170060082","4","3","3","0","612","32","248","328","72","364","4","6","13"
"480170060084","1","1","0","0","14","1","1","4","3","4","1","1","2"
"480170060085","5","5","5","3","2460","340","605","1195","195","1225","139","5","13"
"480170060086","2","2","2","0","438","14","162","202","66","192","2","6","13"
"480170060087","1","1","1","0","22","1","7","9","11","20","1","2","4"
"480170060093","2","2","2","2","546","74","160","254","82","288","131","2","5"
"480170060094","4","4","4","1","444","24","96","172","88","256","9","9","21"
"480170060095","3","3","1","3","195","0","24","39","36","69","9","4","12"
"480170060096","5","5","3","0","1565","20","525","705","300","720","5","6","15"
"480170060098","3","3","3","3","39","6","9","27","15","39","18","24","38"
"480170060099","7","7","5","0","3052","196","1008","1407","462","1267","10","9","20"
"480170060100","4","3","2","2","600","44","208","276","92","260","45","6","13"
"480170060102","2","2","2","0","156","10","48","72","42","84","4","3","10"
"480170060106","8","8","7","5","3256","288","1096","1504","504","1584","31","9","23"
"480170060110","2","2","1","0","294","14","112","142","80","204","3","3","5"
"480170060115","5","5","5","1","750","50","225","335","160","345","14","11","24"
"480170060118","1","1","1","1","251","18","85","119","41","121","2","3","7"
"480170060122","1","1","0","1","13","0","3","4","2","3","13","1","2"
"480170060123","5","5","4","2","280","35","35","120","135","290","15","11","26"
"480170060124","3","3","3","1","1962","135","663","873","240","972","4","5","12"
"480170060126","1","1","1","0","130","5","53","64","15","80","2","2","5"
"480170060127","4","3","2","1","4452","164","1664","1976","332","1940","14","4","12"
"480170060128","1","1","1","0","33","8","6","16","7","16","1","2","4"
"480170060132","4","3","4","1","164","8","36","64","92","124","20","7","16"
"480170060133","1","1","1","0","91","3","39","43","7","48","1","1","3"
"480170060134","2","2","2","0","154","2","28","36","36","62","2","2","6"
"480170060137","1","1","1","0","14","0","4","7","4","5","1","1","4"
"480170060139","1","1","1","0","286","26","100","140","16","132","4","1","2"
"480170060140","11","11","8","5","4279","341","1331","1958","880","1793","31","13","34"
"480170060142","10","10","9","5","1150","70","370","560","360","750","26","13","33"
"480170060144","1","1","0","1","67","6","27","38","5","46","4","1","2"
"480170060150","2","2","1","1","404","18","150","178","6","186","2","3","8"
"480170060151","1","1","1","0","126","2","55","61","1","59","2","1","2"
"480170060152","23","22","17","11","8786","552","3358","4439","1127","4324","134","36","91"
"480170060153","3","3","3","1","189","33","57","99","21","120","128","5","10"
"480170060154","5","5","1","4","585","60","155","260","120","260","290","5","14"
"480170060156","1","1","1","0","29","5","5","13","9","17","2","1","3"
"480170060157","2","2","1","1","302","18","88","122","42","138","4","3","6"
"480170060161","3","3","3","1","648","54","180","282","204","294","39","5","14"
"480170060162","7","6","7","4","6832","623","2177","3031","644","3115","188","26","46"
"480170060163","4","4","4","1","236","0","72","100","32","136","8","8","17"
"480170060164","1","1","0","0","229","11","91","109","5","113","2","1","4"
"480170060165","8","8","3","7","1216","72","320","528","360","696","59","11","28"
"480170060166","1","1","0","1","159","11","58","71","4","79","4","2","2"
"480170060168","1","1","1","1","0","0","0","0","0","0","1","5","11"
"480170060169","1","1","0","1","4","0","1","2","1","2","3","1","3"
"480170060171","12","12","12","8","1536","168","576","780","252","912","83","14","43"
"480170060172","1","1","1","0","219","6","90","109","5","108","1","1","3"
"480170060175","5","5","2","1","2055","125","775","995","80","1195","8","6","14"
"480170060176","4","3","2","0","824","68","276","396","96","308","4","4","11"
"480170060177","1","1","0","0","139","19","44","67","6","61","1","1","2"
"480170060178","2","2","2","2","72","20","8","34","10","38","173","3","8"
"480170060179","1","1","0","0","222","7","100","115","4","121","2","1","2"
"480170060182","12","12","10","4","3432","456","1104","1692","264","1680","35","16","43"
"480170060183","1","1","0","0","65","2","17","24","14","30","1","1","2"
"480170060184","5","5","5","2","90","10","30","45","40","75","32","10","31"
"480170060187","1","1","1","0","342","34","123","167","9","157","1","3","5"
"480170060189","4","4","4","3","920","128","292","484","132","492","184","6","19"
"480170060193","2","2","2","1","88","0","44","46","44","62","7","4","7"
"480170060194","2","2","1","1","574","54","166","254","56","242","2","2","5"
"480170060198","1","1","1","0","68","2","28","33","15","32","1","4","8"
"480170060199","9","9","2","6","2439","378","603","1089","279","1206","555","11","23"
"480170060200","1","1","1","0","13","1","6","7","1","9","1","1","4"
"480170060202","1","1","1","1","21","1","1","5","6","24","26","1","2"
"480170060204","19","18","17","4","9386","684","2983","4389","1254","3857","149","30","77"
"480170060206","1","1","0","0","289","24","109","142","21","146","2","1","3"
"480170060208","3","3","3","1","132","6","45","60","51","138","12","8","17"
"480170060210","3","2","3","0","1056","99","381","510","96","642","5","6","16"
"480170060212","1","1","0","0","319","28","111","161","13","124","1","1","2"
"480170060214","6","5","4","1","1386","168","450","714","168","780","7","10","18"
"480170060216","2","2","0","1","736","94","244","366","44","302","6","2","5"
"480170060217","2","2","1","0","738","50","292","376","76","364","3","2","6"
"480170060218","6","6","2","5","906","48","252","444","186","456","25","20","30"
"480170060219","1","1","1","0","343","21","134","176","30","265","1","1","2"
"480170060221","2","2","2","0","200","20","44","80","54","110","2","5","10"
"480170060222","1","1","1","0","18","2","2","4","11","13","1","1","2"
"480170060225","4","3","2","0","1380","340","332","708","100","672","4","5","11"
"480170060227","2","2","0","0","90","6","38","46","34","48","8","2","4"
"480170060228","1","1","1","0","92","2","38","44","8","43","2","1","4"
"480170060229","1","1","1","0","9","1","4","5","3","5","1","1","2"
"480170060230","3","3","0","0","234","36","75","120","60","123","12","3","7"
"480170060233","3","3","1","0","912","69","309","429","105","342","3","3","7"
"480170060234","8","8","6","3","2808","176","1008","1280","536","1344","17","9","28"
"480170060236","2","1","2","0","420","36","138","200","66","202","2","3","9"
"480170060237","11","11","6","4","5049","407","1793","2464","891","2794","31","15","31"
"480170060238","1","1","1","0","0","0","0","0","0","0","1","1","4"
"480170060239","6","6","3","3","444","18","162","222","126","252","14","8","24"
"480170060241","16","14","10","11","4160","512","1488","2192","704","1984","111","22","56"
"480170060243","1","1","1","1","375","10","153","174","12","174","172","2","4"
"480170060244","2","2","0","2","290","22","108","144","40","116","8","2","4"
"480170060247","1","0","1","1","29","0","10","11","1","11","13","3","6"
"480170060248","3","2","3","2","402","36","108","177","81","201","8","4","10"
"480170060251","3","3","2","0","612","42","207","267","147","270","5","6","13"
"480170060252","1","1","1","0","695","196","122","335","31","323","1","1","3"
"480170060257","2","2","0","2","648","20","232","284","98","302","5","2","4"
"480170060258","1","1","1","0","48","3","17","23","8","23","1","1","4"
"480170060259","5","5","4","4","705","45","225","320","95","400","11","10","22"
"480170060262","3","3","2","1","567","51","198","282","69","336","5","5","9"
"480170060263","5","5","4","1","740","95","265","380","130","625","8","10","24"
"480170060268","10","10","9","4","2700","440","740","1430","690","1490","184","15","39"
"480170060269","4","4","3","2","292","60","84","164","40","160","9","7","15"
"480170060270","2","2","1","0","566","72","198","292","74","278","2","3","6"
"480170060271","4","3","2","2","788","80","252","372","100","372","7","6","14"
"480170060272","2","2","0","2","446","46","148","202","40","282","7","2","3"
"480170060273","8","7","6","5","424","40","152","208","72","248","42","7","27"
"480170060274","2","2","1","1","604","190","98","302","46","318","5","3","5"
"480170060277","2","2","1","0","392","36","138","196","74","190","2","3","8"
"480170060278","3","3","2","1","786","78","240","363","60","339","13","1","6"
"480170060279","6","6","4","1","792","162","204","444","54","396","103","10","21"
"480170060280","2","2","1","2","448","58","138","232","24","280","7","2","4"
"480170060281","1","1","0","0","243","67","37","109","18","138","1","1","2"
"480170060282","10","10","6","1","4520","460","1350","2060","330","2230","14","15","28"
"480170060283","1","0","1","1","4","2","0","2","1","2","4","1","2"
"480170060284","6","6","4","2","822","108","240","384","78","672","191","8","21"
"480170060286","1","1","1","0","403","30","169","207","11","194","1","2","6"
"480170060287","46","43","42","31","4600","736","1380","2300","736","3312","567","63","178"
"480170060289","30","30","23","14","8820","1140","2880","4710","990","5460","326","36","100"
"480170060290","2","2","1","0","100","16","30","54","14","50","2","2","5"
"480170060291","19","19","14","9","798","133","342","570","171","627","122","32","83"
"480170060292","29","29","25","14","5075","1073","1450","2755","696","2900","155","41","111"
"480170060293","67","61","57","40","13534","1541","5092","7303","1474","9581","1026","104","272"
"480170060294","10","8","8","7","4870","340","1860","2520","350","2930","362","11","31"
"480170060296","5","5","4","0","1710","95","605","800","205","665","6","9","21"
"480170060299","2","2","2","0","70","14","24","42","14","64","4","3","9"
"480170060300","2","2","0","0","606","54","222","302","16","274","2","2","3"
"480170060301","11","11","7","8","0","0","0","0","11","11","133","13","33"
"480170060302","2","2","2","0","614","112","152","286","20","332","2","2","3"
"480170060306","1","1","1","0","270","35","95","135","29","157","1","1","2"
"480170060307","4","4","2","2","52","20","0","20","8","24","12","4","11"
"480170060308","17","17","12","5","10523","1445","3196","5032","1037","4726","74","22","56"
"480170060309","8","8","3","4","4744","456","1632","2304","520","3064","55","9","18"
"480170060310","6","6","5","3","1662","132","636","852","96","1224","19","10","21"
"480170060313","5","5","3","4","1860","515","330","930","145","910","37","7","16"
"480170060314","3","3","2","1","750","93","240","348","63","495","17","3","10"
"480170060315","2","2","1","0","564","120","142","302","46","250","4","2","7"
"480170060316","1","1","1","1","73","2","25","31","9","30","3","0","2"
