SEZ2011,A46
480170060001,60
480170060004,44
480170060005,2
480170060011,28
480170060014,6
480170060031,10
480170060033,9
480170060037,9
480170060039,170
480170060044,0
480170060049,1
480170060053,14
480170060058,10
480170060059,39
480170060061,36
480170060062,0
480170060068,27
480170060070,12
480170060071,36
480170060073,1
480170060074,8
480170060079,105
480170060082,32
480170060084,1
480170060085,340
480170060086,14
480170060087,1
480170060093,74
480170060094,24
480170060095,0
480170060096,20
480170060098,6
480170060099,196
480170060100,44
480170060102,10
480170060106,288
480170060110,14
480170060115,50
480170060118,18
480170060122,0
480170060123,35
480170060124,135
480170060126,5
480170060127,164
480170060128,8
480170060132,8
480170060133,3
480170060134,2
480170060137,0
480170060139,26
480170060140,341
480170060142,70
480170060144,6
480170060150,18
480170060151,2
480170060152,552
480170060153,33
480170060154,60
480170060156,5
480170060157,18
480170060161,54
480170060162,623
480170060163,0
480170060164,11
480170060165,72
480170060166,11
480170060168,0
480170060169,0
480170060171,168
480170060172,6
480170060175,125
480170060176,68
480170060177,19
480170060178,20
480170060179,7
480170060182,456
480170060183,2
480170060184,10
480170060187,34
480170060189,128
480170060193,0
480170060194,54
480170060198,2
480170060199,378
480170060200,1
480170060202,1
480170060204,684
480170060206,24
480170060208,6
480170060210,99
480170060212,28
480170060214,168
480170060216,94
480170060217,50
480170060218,48
480170060219,21
480170060221,20
480170060222,2
480170060225,340
480170060227,6
480170060228,2
480170060229,1
480170060230,36
480170060233,69
480170060234,176
480170060236,36
480170060237,407
480170060238,0
480170060239,18
480170060241,512
480170060243,10
480170060244,22
480170060247,0
480170060248,36
480170060251,42
480170060252,196
480170060257,20
480170060258,3
480170060259,45
480170060262,51
480170060263,95
480170060268,440
480170060269,60
480170060270,72
480170060271,80
480170060272,46
480170060273,40
480170060274,190
480170060277,36
480170060278,78
480170060279,162
480170060280,58
480170060281,67
480170060282,460
480170060283,2
480170060284,108
480170060286,30
480170060287,736
480170060289,1140
480170060290,16
480170060291,133
480170060292,1073
480170060293,1541
480170060294,340
480170060296,95
480170060299,14
480170060300,54
480170060301,0
480170060302,112
480170060306,35
480170060307,20
480170060308,1445
480170060309,456
480170060310,132
480170060313,515
480170060314,93
480170060315,120
480170060316,2
480170060317,207
480170060318,33
480170060320,7
480170060323,8
480170060324,12
480170060328,56
480170060329,66
480170060332,14
480170060333,0
480170060335,14
480170060336,46
480170060337,30
480170060339,0
480170060340,35
480170060341,0
480170060342,24
480170060343,297
480170060348,88
480170060349,74
480170060350,0
480170060353,8
480170060357,261
480170060358,30
480170060360,228
480170060361,850
480170060362,468
480170060364,106
480170060366,119
480170060367,208
480170060368,232
480170060369,520
480170060370,14
480170060371,33
480170060372,60
480170060374,165
480170060376,6
480170060379,58
480170060381,2392
480170060382,180
480170060383,54
480170060384,289
480170060385,0
480170060388,7
480170060389,4
480170060390,78
480170060391,40
480170060392,90
480170060393,1200
480170060394,42
480170060395,21
480170060397,10
480170060402,133
480170060403,1100
480170060406,180
480170060407,28
480170060408,688
480170060409,2430
480170060410,319
480170060412,798
480170060415,28
480170060416,56
480170060418,80
480170060419,0
480170060420,39
480170060421,500
480170060422,4
480170060425,1800
480170060428,8
480170060430,6
480170060431,182
480170060432,42
480170060433,840
480170060434,63
480170060435,1479
480170060436,36320
480170060437,18
480170060440,64
480170060443,2
480170060444,437
480170060446,87
480170060448,1700
480170060449,48
480170060450,345
480170060452,4
480170060453,18
480170060455,434
480170060456,70
480170060458,2
480170060459,52
480170060460,3904
480170060461,39
480170060464,122
480170060465,3
480170060466,126
480170060469,17
480170060470,30
480170060471,68
480170060472,10
480170060473,100
480170060474,396
480170060475,476
480170060476,0
480170060477,621
480170060478,40
480170060479,0
480170060480,336
480170060482,12
480170060485,15
480170060488,75
480170060489,144
480170060490,13
480170060491,88
480170060492,242
480170060493,120
480170060495,12
480170060497,18
480170060499,608
480170060501,30
480170060502,9
480170060504,23
480170060505,12
480170060506,162
480170060507,78
480170060509,546
480170060510,4802
480170060512,44
480170060513,221
480170060514,4
480170060515,87
480170060516,222
480170060517,0
480170060518,8
480170060521,60
480170060522,1428
480170060523,72
480170060524,34
480170060525,58
480170060526,972
480170060527,66
480170060528,25
480170060529,0
480170060530,119
480170060531,234
480170060533,1015
480170060534,48
480170060535,36
480170060536,396
480170060538,24
480170060539,96
480170060540,37
480170060541,25
480170060542,540
480170060543,28
480170060544,7
480170060545,126
480170060546,39
480170060547,150
480170060548,0
480170060551,528
480170060554,0
480170060555,36
480170060557,798
480170060558,176
480170060559,350
480170060560,336
480170060561,95
480170060563,320
480170060564,8
480170060565,504
480170060566,120
480170060568,22
480170060570,304
480170060571,57
480170060573,132
480170060574,424
480170060576,280
480170060577,860
480170060578,76
480170060580,108
480170060581,200
480170060582,183
480170060583,198
480170060584,228
480170060585,52
480170060586,168
480170060588,475
480170060589,928
480170060590,195
480170060591,14
480170060592,160
480170060593,1222
480170060594,62
480170060595,176
480170060597,0
480170060598,32
480170060599,437
480170060600,11
480170060601,36
480170060602,42
480170060603,300
480170060604,0
480170060605,300
480170060606,1904
480170060607,0
480170060608,224
480170060609,78
480170060612,55
480170060613,12
480170060614,465
480170060615,48
480170060616,96
480170060617,196
480170060619,85
480170060620,33
480170060621,12
480170060622,432
480170060623,84
480170060624,40
480170060625,154
480170060626,950
480170060628,1500
480170060629,260
480170060630,48
480170060631,310
480170060632,300
480170060633,4
480170060634,120
480170060635,30
480170060636,12
480170060639,0
480170060640,45
480170060641,60
480170060642,248
480170060643,110
480170060644,13
480170060645,40
480170060646,162
480170060647,24
480170060648,247
480170060649,135
480170060650,330
480170060652,391
480170060653,228
480170060654,561
480170060655,273
480170060656,9
480170060659,506
480170060660,36
480170060661,10
480170060662,110
480170060663,0
480170060664,35
480170060665,48
480170060666,24
480170060667,99
480170060668,66
480170060669,27
480170060671,1110
480170060673,330
480170060674,240
480170060675,0
480170060676,0
480170060677,0
480170060678,118
480170060681,0
480170060682,319
480170060683,323
480170060684,30
480170060685,585
480170060686,0
480170060687,1494
480170060689,0
480170060690,0
480170060691,0
480170060692,36
480170060693,176
480170060694,273
480170060695,2
480170060699,21
480170060700,54
480170060701,22
480170060702,56
480170060703,60
480170060704,18
480170060705,0
480170060706,253
480170060707,55
480170060709,20
480170060710,528
480170060711,40
480170060712,3
480170060713,48
480170060714,24
480170060715,65
480170060717,138
480170060718,9
480170060719,108
480170060720,6
480170060721,0
480170060722,15
480170060724,0
480170060725,0
480170060726,16
480170060727,18
480170060728,0
480170060730,36
480170060731,492
480170060732,68
480170060733,0
480170060734,812
480170060735,144
480170060738,5
480170060740,423
480170060741,18
480170060743,48
480170060746,240
480170060747,550
480170060748,152
480170060750,36
480170060751,0
480170060752,7
480170060753,33
480170060754,374
480170060755,208
480170060756,285
480170060757,50
480170060758,0
480170060759,36
480170060760,143
480170060761,0
480170060762,8
480170060763,2925
480170060764,39
480170060765,4
480170060766,64
480170060767,90
480170060768,712
480170060771,143
480170060772,364
480170060774,8
480170060775,16
480170060777,36
480170060779,133
480170060781,1007
480170060782,280
480170060783,207
480170060784,12
480170060785,35
480170060787,525
480170060789,40
480170060790,0
480170060791,15
480170060793,0
480170060795,30
480170060796,77
480170060798,312
480170060799,255
480170060800,195
480170060801,32
480170060802,60
480170060803,136
480170060804,1564
480170060807,11
480170060809,16
480170060810,156
480170060812,280
480170060815,2320
480170060816,4
480170060817,300
480170060818,4503
480170060819,252
480170060820,9
480170060821,2
480170060822,48
480170060823,10
480170060824,8
480170060825,195
480170060826,58
480170060827,0
480170060828,141
480170060829,44
480170060830,59
480170060831,11
480170060833,28
480170060835,120
480170060836,45
480170060837,10
480170060838,266
480170060839,45
480170060840,24
480170060841,108
480170060842,990
480170060843,108
480170060844,75
480170060845,10
480170060846,76
480170060847,1376
480170060848,1
480170060850,30
480170060851,105
480170060852,1
480170060855,72
480170060858,0
480170060859,38
480170060861,480
480170060862,13
480170060863,1
480170060864,270
480170060865,2662
480170060866,420
480170060867,396
480170060870,42
480170060873,136
480170060874,1275
480170060877,18
480170060878,15
480170060879,22
480170060881,10
480170060883,110
480170060884,0
480170060886,75
480170060887,50
480170060888,198
480170060890,12
480170060891,21
480170060892,0
480170060895,132
480170060896,24
480170060897,1312
480170060899,6
480170060902,108
480170060906,8
480170060907,210
480170060908,99
480170060910,48
480170060911,0
480170060912,0
480170060915,78
480170060916,5776
480170060917,0
480170060918,250
480170060919,1443
480170060920,8
480170060921,28
480170060922,9
480170060924,468
480170060927,11
480170060928,305
480170060930,460
480170060931,406
480170060932,36
480170060933,10
480170060934,1584
480170060935,402
480170060936,49
480170060937,104
480170060938,18
480170060940,18
480170060943,384
480170060944,12
480170060945,18
480170060947,1008
480170060948,96
480170060949,40
480170060950,4
480170060952,84
480170060953,57
480170060954,4
480170060955,6
480170060957,112
480170060958,72
480170060960,9
480170060961,1247
480170060963,48
480170060964,30
480170060966,510
480170060967,65
480170060969,648
480170060971,248
480170060973,352
480170060974,129
480170060975,2
480170060976,0
480170060977,5
480170060979,44
480170060983,44
480170060984,312
480170060985,48
480170060986,24
480170060988,92
480170060990,19
480170060991,5
480170060992,391
480170060994,376
480170060995,2700
480170060996,24
480170060998,3
480170060999,96
480170061000,30
480170061001,190
480170061002,850
480170061003,16
480170061004,180
480170061005,30
480170061006,18
480170061007,2
480170061009,4
480170061010,276
480170061011,5000
480170061013,5
480170061014,84
480170061017,2352
480170061018,12
480170061019,37
480170061021,19
480170061023,40
480170061025,720
480170061026,12
480170061035,156
480170061036,8
480170061037,60
480170061039,25
480170061040,11
480170061043,48
480170061044,437
480170061045,4565
480170061049,4
480170061050,442
480170061051,54
480170061053,96
480170061055,132
480170061057,21
480170061058,240
480170061061,2
480170061064,432
480170061065,36
480170061066,532
480170061068,168
480170061069,1247
480170061070,84
480170061071,1652
480170061072,22
480170061073,1512
480170061075,17
480170061076,220
480170061077,0
480170061078,44
480170061079,32
480170061081,5
480170061082,4
480170061086,0
480170061087,40
480170061089,1
480170061090,51
480170061091,130
480170061092,0
480170061094,2255
480170061095,28
480170061099,0
480170061100,128
480170061104,69
480170061106,58
480170061109,2
480170061110,294
480170061111,223
480170061112,1176
480170061114,104
480170061115,621
480170061118,0
480170061119,146
480170061120,8
480170061121,162
480170061123,3
480170061124,31
480170061125,16
480170061127,78
480170061132,350
480170061133,8
480170061134,32
480170061135,231
480170061137,172
480170061141,189
480170061145,34
480170061149,1848
480170061150,22
480170061153,154
480170061157,738
480170061160,552
480170061161,23
480170061165,546
480170061169,18
480170061170,306
480170061173,4
480170061174,102
480170061176,24
480170061177,2650
480170061179,36
480170061180,36
480170061183,35
480170061186,374
480170061191,2
480170061194,1400
480170061196,1
480170061201,272
480170061203,6
480170061206,51
480170061208,175
480170061210,289
480170061213,8
480170061214,0
480170061217,72
480170061221,1680
480170061222,200
480170061223,72
480170061224,34
480170061226,5063
480170061232,231
480170061235,0
480170061237,24
480170061238,42
480170061239,280
480170061243,15
480170061244,828
480170061245,78
480170061247,30
480170061249,6
480170061251,39
