SEZ2011,E3
480170060001,120
480170060004,80
480170060005,1
480170060011,144
480170060014,9
480170060031,24
480170060033,61
480170060037,17
480170060039,112
480170060044,6
480170060049,7
480170060053,16
480170060058,106
480170060059,286
480170060061,92
480170060062,4
480170060068,58
480170060070,24
480170060071,160
480170060073,18
480170060074,4
480170060079,81
480170060082,72
480170060084,3
480170060085,195
480170060086,66
480170060087,11
480170060093,82
480170060094,88
480170060095,36
480170060096,300
480170060098,15
480170060099,462
480170060100,92
480170060102,42
480170060106,504
480170060110,80
480170060115,160
480170060118,41
480170060122,2
480170060123,135
480170060124,240
480170060126,15
480170060127,332
480170060128,7
480170060132,92
480170060133,7
480170060134,36
480170060137,4
480170060139,16
480170060140,880
480170060142,360
480170060144,5
480170060150,6
480170060151,1
480170060152,1127
480170060153,21
480170060154,120
480170060156,9
480170060157,42
480170060161,204
480170060162,644
480170060163,32
480170060164,5
480170060165,360
480170060166,4
480170060168,0
480170060169,1
480170060171,252
480170060172,5
480170060175,80
480170060176,96
480170060177,6
480170060178,10
480170060179,4
480170060182,264
480170060183,14
480170060184,40
480170060187,9
480170060189,132
480170060193,44
480170060194,56
480170060198,15
480170060199,279
480170060200,1
480170060202,6
480170060204,1254
480170060206,21
480170060208,51
480170060210,96
480170060212,13
480170060214,168
480170060216,44
480170060217,76
480170060218,186
480170060219,30
480170060221,54
480170060222,11
480170060225,100
480170060227,34
480170060228,8
480170060229,3
480170060230,60
480170060233,105
480170060234,536
480170060236,66
480170060237,891
480170060238,0
480170060239,126
480170060241,704
480170060243,12
480170060244,40
480170060247,1
480170060248,81
480170060251,147
480170060252,31
480170060257,98
480170060258,8
480170060259,95
480170060262,69
480170060263,130
480170060268,690
480170060269,40
480170060270,74
480170060271,100
480170060272,40
480170060273,72
480170060274,46
480170060277,74
480170060278,60
480170060279,54
480170060280,24
480170060281,18
480170060282,330
480170060283,1
480170060284,78
480170060286,11
480170060287,736
480170060289,990
480170060290,14
480170060291,171
480170060292,696
480170060293,1474
480170060294,350
480170060296,205
480170060299,14
480170060300,16
480170060301,11
480170060302,20
480170060306,29
480170060307,8
480170060308,1037
480170060309,520
480170060310,96
480170060313,145
480170060314,63
480170060315,46
480170060316,9
480170060317,108
480170060318,9
480170060320,25
480170060323,22
480170060324,46
480170060328,104
480170060329,183
480170060332,35
480170060333,6
480170060335,60
480170060336,96
480170060337,42
480170060339,324
480170060340,168
480170060341,36
480170060342,64
480170060343,774
480170060348,50
480170060349,132
480170060350,7
480170060353,8
480170060357,225
480170060358,28
480170060360,84
480170060361,714
480170060362,576
480170060364,6
