census_tract_id,P1
480170060001,753
480170060004,506
480170060005,3
480170060011,364
480170060014,68
480170060031,145
480170060033,273
480170060037,194
480170060039,876
480170060044,0
480170060049,67
480170060053,99
480170060058,378
480170060059,754
480170060061,520
480170060062,2
480170060068,218
480170060070,114
480170060071,952
480170060073,79
480170060074,53
480170060079,1062
480170060082,612
480170060084,14
480170060085,2460
480170060086,438
480170060087,22
480170060093,546
480170060094,444
480170060095,195
480170060096,1565
480170060098,39
480170060099,3052
480170060100,600
480170060102,156
480170060106,3256
480170060110,294
480170060115,750
480170060118,251
480170060122,13
480170060123,280
480170060124,1962
480170060126,130
480170060127,4452
480170060128,33
480170060132,164
480170060133,91
480170060134,154
480170060137,14
480170060139,286
480170060140,4279
480170060142,1150
480170060144,67
480170060150,404
480170060151,126
480170060152,8786
480170060153,189
480170060154,585
480170060156,29
480170060157,302
480170060161,648
480170060162,6832
480170060163,236
480170060164,229
480170060165,1216
480170060166,159
480170060168,0
480170060169,4
480170060171,1536
480170060172,219
480170060175,2055
480170060176,824
480170060177,139
480170060178,72
480170060179,222
480170060182,3432
480170060183,65
480170060184,90
480170060187,342
480170060189,920
480170060193,88
480170060194,574
480170060198,68
480170060199,2439
480170060200,13
480170060202,21
480170060204,9386
480170060206,289
480170060208,132
480170060210,1056
480170060212,319
480170060214,1386
480170060216,736
480170060217,738
480170060218,906
480170060219,343
480170060221,200
480170060222,18
480170060225,1380
480170060227,90
480170060228,92
480170060229,9
480170060230,234
480170060233,912
480170060234,2808
480170060236,420
480170060237,5049
480170060238,0
480170060239,444
480170060241,4160
480170060243,375
480170060244,290
480170060247,29
480170060248,402
480170060251,612
480170060252,695
480170060257,648
480170060258,48
480170060259,705
480170060262,567
480170060263,740
480170060268,2700
480170060269,292
480170060270,566
480170060271,788
480170060272,446
480170060273,424
480170060274,604
480170060277,392
480170060278,786
480170060279,792
480170060280,448
480170060281,243
480170060282,4520
480170060283,4
480170060284,822
480170060286,403
480170060287,4600
480170060289,8820
480170060290,100
480170060291,798
480170060292,5075
480170060293,13534
480170060294,4870
480170060296,1710
480170060299,70
480170060300,606
480170060301,0
480170060302,614
480170060306,270
480170060307,52
480170060308,10523
480170060309,4744
480170060310,1662
480170060313,1860
480170060314,750
480170060315,564
480170060316,73
480170060317,2259
480170060318,87
480170060320,121
480170060323,76
480170060324,268
480170060328,1012
480170060329,843
480170060332,189
480170060333,10
480170060335,252
480170060336,920
480170060337,54
480170060339,1164
480170060340,483
480170060341,64
480170060342,544
480170060343,4419
480170060348,1222
480170060349,1226
480170060350,34
480170060353,16
480170060357,1107
480170060358,220
480170060360,912
480170060361,5117
480170060362,7128
480170060364,538
480170060366,658
480170060367,2158
480170060368,1208
480170060369,3029
480170060370,122
480170060371,308
480170060372,490
480170060374,1515
480170060376,34
480170060379,496
480170060381,16380
480170060382,780
480170060383,540
480170060384,3043
480170060385,19
480170060388,127
480170060389,132
480170060390,1254
480170060391,932
480170060392,492
480170060393,7320
480170060394,490
480170060395,53
480170060397,202
480170060402,623
480170060403,3600
480170060406,3000
480170060407,284
480170060408,3776
480170060409,13275
480170060410,869
480170060412,2679
480170060415,482
480170060416,231
480170060418,690
480170060419,55
480170060420,456
480170060421,1550
480170060422,4
480170060425,8532
480170060428,40
480170060430,51
480170060431,1260
480170060432,480
480170060433,3654
480170060434,135
480170060435,14471
480170060436,254921
480170060437,450
480170060440,804
480170060443,116
480170060444,1843
480170060446,1206
480170060448,6698
480170060449,933
480170060450,1455
480170060452,44
480170060453,264
480170060455,4298
480170060456,490
480170060458,23
480170060459,349
480170060460,31552
480170060461,269
480170060464,714
480170060465,16
480170060466,1782
480170060469,283
480170060470,844
480170060471,940
480170060472,170
480170060473,1770
480170060474,2332
480170060475,2414
480170060476,0
480170060477,4185
480170060478,390
480170060479,0
480170060480,1974
480170060482,36
480170060485,504
480170060488,897
480170060489,750
480170060490,104
480170060491,704
480170060492,2398
480170060493,1200
480170060495,354
480170060497,244
480170060499,2755
480170060501,185
480170060502,170
480170060504,357
480170060505,522
480170060506,819
480170060507,376
480170060509,2600
480170060510,25774
480170060512,1068
480170060513,1222
480170060514,123
480170060515,885
480170060516,1581
480170060517,240
480170060518,16
480170060521,930
480170060522,10132
480170060523,462
480170060524,238
480170060525,396
480170060526,10746
480170060527,426
480170060528,262
480170060529,38
480170060530,1456
480170060531,3150
480170060533,2842
480170060534,945
480170060535,225
480170060536,5121
480170060538,288
480170060539,248
480170060540,261
480170060541,215
480170060542,3160
480170060543,324
480170060544,14
480170060545,392
480170060546,381
480170060547,1590
480170060548,4
480170060551,3388
480170060554,45
480170060555,1092
480170060557,4161
480170060558,848
480170060559,1750
480170060560,1148
480170060561,1470
480170060563,2750
480170060564,166
480170060565,3816
480170060566,690
480170060568,290
480170060570,704
480170060571,1349
480170060573,1032
480170060574,3021
480170060576,2037
480170060577,5375
480170060578,1064
480170060580,902
480170060581,2050
480170060582,819
480170060583,918
480170060584,1539
480170060585,208
480170060586,420
480170060588,3534
480170060589,4608
480170060590,2184
480170060591,14
480170060592,1264
480170060593,7176
480170060594,952
480170060595,869
480170060597,0
480170060598,256
480170060599,2714
480170060600,118
480170060601,162
480170060602,312
480170060603,2160
480170060604,0
480170060605,1520
480170060606,18144
480170060607,0
480170060608,672
480170060609,195
480170060612,355
480170060613,140
480170060614,3165
480170060615,698
480170060616,1528
480170060617,840
480170060619,221
480170060620,615
480170060621,60
480170060622,2970
480170060623,504
480170060624,632
480170060625,484
480170060626,6650
480170060628,3820
480170060629,1300
480170060630,384
480170060631,1290
480170060632,2616
480170060633,50
480170060634,898
480170060635,300
480170060636,68
480170060639,0
480170060640,175
480170060641,228
480170060642,1767
480170060643,682
480170060644,169
480170060645,196
480170060646,2277
480170060647,132
480170060648,1170
480170060649,1405
480170060650,3597
480170060652,3366
480170060653,1710
480170060654,3638
480170060655,1469
480170060656,217
480170060659,4686
480170060660,408
480170060661,132
480170060662,253
480170060663,0
480170060664,120
480170060665,156
480170060666,120
480170060667,1008
480170060668,880
480170060669,207
480170060671,5160
480170060673,4545
480170060674,2115
480170060675,0
480170060676,7
480170060677,16
480170060678,728
480170060681,4
480170060682,1566
480170060683,1326
480170060684,264
480170060685,5265
480170060686,0
480170060687,4344
480170060689,0
480170060690,0
480170060691,0
480170060692,216
480170060693,672
480170060694,4823
480170060695,6
480170060699,300
480170060700,270
480170060701,176
480170060702,328
480170060703,132
480170060704,156
480170060705,0
480170060706,704
480170060707,594
480170060709,190
480170060710,2600
480170060711,260
480170060712,14
480170060713,216
480170060714,78
480170060715,975
480170060717,1344
480170060718,12
480170060719,1102
480170060720,6
480170060721,0
480170060722,125
480170060724,0
480170060725,45
480170060726,154
480170060727,52
480170060728,0
480170060730,468
480170060731,3804
480170060732,692
480170060733,6
480170060734,3080
480170060735,588
480170060738,20
480170060740,1143
480170060741,432
480170060743,168
480170060746,855
480170060747,2596
480170060748,376
480170060750,234
480170060751,0
480170060752,98
480170060753,264
480170060754,2530
480170060755,2320
480170060756,2025
480170060757,430
480170060758,0
480170060759,64
480170060760,1716
480170060761,0
480170060762,76
480170060763,17055
480170060764,207
480170060765,16
480170060766,586
480170060767,402
480170060768,10544
480170060771,1012
480170060772,3876
480170060774,172
480170060775,84
480170060777,135
480170060779,1862
480170060781,7543
480170060782,1320
480170060783,1506
480170060784,377
480170060785,749
480170060787,3075
480170060789,488
480170060790,8
480170060791,165
480170060793,0
480170060795,135
480170060796,336
480170060798,1920
480170060799,816
480170060800,897
480170060801,369
480170060802,417
480170060803,632
480170060804,8740
480170060807,146
480170060809,56
480170060810,888
480170060812,1380
480170060815,7946
480170060816,10
480170060817,2748
480170060818,24411
480170060819,2588
480170060820,187
480170060821,13
480170060822,276
480170060823,26
480170060824,16
480170060825,1695
480170060826,474
480170060827,0
480170060828,1185
480170060829,66
480170060830,907
480170060831,127
480170060833,70
480170060835,1854
480170060836,675
480170060837,28
480170060838,1349
480170060839,315
480170060840,116
480170060841,1110
480170060842,4983
480170060843,1392
480170060844,375
480170060845,147
480170060846,1349
480170060847,15104
480170060848,11
480170060850,432
480170060851,623
480170060852,66
480170060855,612
480170060858,0
480170060859,311
480170060861,3632
480170060862,69
480170060863,76
480170060864,3087
480170060865,16610
480170060866,2910
480170060867,1800
480170060870,435
480170060873,1836
480170060874,10050
480170060877,90
480170060878,202
480170060879,385
480170060881,45
480170060883,506
480170060884,65
480170060886,990
480170060887,235
480170060888,3330
480170060890,86
480170060891,323
480170060892,13
480170060895,748
480170060896,164
480170060897,9216
480170060899,254
480170060902,1092
480170060906,32
480170060907,2660
480170060908,726
480170060910,460
480170060911,225
480170060912,2
480170060915,562
480170060916,29716
480170060917,0
480170060918,1100
480170060919,6290
480170060920,210
480170060921,148
480170060922,22
480170060924,2280
480170060927,61
480170060928,1640
480170060930,2400
480170060931,2373
480170060932,360
480170060933,78
480170060934,4992
480170060935,1986
480170060936,210
480170060937,1846
480170060938,148
480170060940,197
480170060943,1872
480170060944,116
480170060945,324
480170060947,11628
480170060948,636
480170060949,1216
480170060950,8
480170060952,414
480170060953,234
480170060954,60
480170060955,78
480170060957,832
480170060958,1338
480170060960,105
480170060961,7047
480170060963,540
480170060964,201
480170060966,5430
480170060967,1590
480170060969,2700
480170060971,3448
480170060973,3245
480170060974,912
480170060975,48
480170060976,0
480170060977,157
480170060979,798
480170060983,718
480170060984,2652
480170060985,498
480170060986,184
480170060988,1140
480170060990,259
480170060991,98
480170060992,1886
480170060994,1324
480170060995,12420
480170060996,324
480170060998,47
480170060999,720
480170061000,297
480170061001,1710
480170061002,9588
480170061003,188
480170061004,1580
480170061005,855
480170061006,326
480170061007,44
480170061009,124
480170061010,5865
480170061011,26900
480170061013,131
480170061014,884
480170061017,10836
480170061018,372
480170061019,513
480170061021,194
480170061023,415
480170061025,3440
480170061026,154
480170061035,1504
480170061036,121
480170061037,1284
480170061039,417
480170061040,256
480170061043,462
480170061044,2508
480170061045,25979
480170061049,248
480170061050,2054
480170061051,572
480170061053,1520
480170061055,1092
480170061057,218
480170061058,1440
480170061061,30
480170061064,3429
480170061065,343
480170061066,3528
480170061068,1556
480170061069,5742
480170061070,1032
480170061071,8024
480170061072,377
480170061073,8505
480170061075,394
480170061076,1860
480170061077,0
480170061078,432
480170061079,192
480170061081,38
480170061082,258
480170061086,0
480170061087,301
480170061089,109
480170061090,238
480170061091,1810
480170061092,0
480170061094,11880
480170061095,311
480170061099,20
480170061100,1972
480170061104,477
480170061106,276
480170061109,75
480170061110,3892
480170061111,732
480170061112,4620
480170061114,706
480170061115,2484
480170061118,0
480170061119,736
480170061120,162
480170061121,1494
480170061123,309
480170061124,374
480170061125,150
480170061127,723
480170061132,2325
480170061133,416
480170061134,378
480170061135,1638
480170061137,1544
480170061141,735
480170061145,514
480170061149,21076
480170061150,430
480170061153,1631
480170061157,3420
480170061160,2712
480170061161,320
480170061165,2450
480170061169,275
480170061170,2304
480170061173,149
480170061174,1178
480170061176,381
480170061177,13568
480170061179,1224
480170061180,813
480170061183,134
480170061186,2464
480170061191,30
480170061194,5360
480170061196,90
480170061201,1760
480170061203,100
480170061206,543
480170061208,2020
480170061210,1015
480170061213,184
480170061214,6
480170061217,1124
480170061221,13398
480170061222,710
480170061223,486
480170061224,342
480170061226,29797
480170061232,1176
480170061235,70
480170061237,170
480170061238,646
480170061239,901
480170061243,377
480170061244,5198
480170061245,646
480170061247,270
480170061249,57
480170061251,1146
480170061252,2678
480170061257,160
480170061258,659
480170061259,864
480170061261,96
480170061262,924
480170061263,6588
480170061266,716
480170061268,564
480170061270,28
480170061271,98
480170061273,590
480170061275,0
480170061276,6480
480170061277,149
480170061278,94
480170061279,154
480170061280,819
480170061283,434
480170061285,16
480170061286,4646
480170061288,1958
480170061290,2466
480170061292,143
480170061294,28
480170061295,389
480170061296,486
480170061297,1050
480170061299,162
480170061300,768
480170061301,12684
480170061303,624
480170061305,387
480170061309,108
480170061312,587
480170061314,104
480170061315,5439
480170061317,12710
480170061318,728
480170061321,3706
480170061325,494
480170061326,4704
480170061328,258
480170061329,14
480170061331,403
480170061333,3808
480170061335,1168
480170061336,8112
480170061338,1309
480170061339,282
480170061340,2536
480170061341,770
480170061343,1544
480170061344,16
480170061345,1611
480170061346,118
480170061347,972
480170061348,1540
480170061349,2079
480170061350,5376
480170061352,690
480170061353,620
480170061354,867
480170061355,0
480170061358,480
480170061359,312
480170061360,312
480170061361,18
480170061362,88
480170061363,47
480170061365,0
480170061366,1938
480170061368,161
480170061369,390
480170061370,3260
480170061371,102
480170061375,388
480170061377,12098
480170061378,756
480170061379,684
480170061380,372
480170061381,192
480170061383,2052
480170061384,1304
480170061386,110
480170061388,180
480170061390,2492
480170061391,54
480170061393,946
480170061394,95
480170061395,0
480170061396,20
480170061397,0
480170061399,154
480170061400,7004
480170061401,1089
480170061402,472
480170061403,374
480170061404,1785
480170061406,105
480170061408,1056
480170061410,0
480170061411,1998
480170061412,1002
480170061414,1235
480170061415,910
480170061416,154
480170061418,969
480170061419,828
480170061420,275
480170061422,1626
480170061423,2460
480170061424,9072
480170061425,510
480170061426,180
480170061427,688
480170061429,900
480170061431,57
480170061432,264
480170061433,12
480170061434,546
480170061435,1976
480170061436,1683
480170061437,165
480170061439,942
480170061440,1197
480170061442,640
480170061443,171
480170061444,294
480170061445,2898
480170061446,270
480170061448,92
480170061449,312
480170061450,689
480170061451,668
480170061452,460
480170061453,356
480170061454,158
480170061457,112
480170061458,17
480170061459,45
480170061460,84
480170061461,136
480170061463,980
480170061464,45
480170061465,86
480170061466,156
480170061467,122
480170061469,1924
480170061470,120
480170061473,642
480170061474,132
480170061476,2652
480170061477,446
480170061478,900
480170061479,1488
480170061480,1336
480170061481,1108
480170061482,244
480170061483,106
480170061485,388
480170061487,420
480170061488,772
480170061489,0
480170061490,212
480170061491,1200
480170061492,210
480170061493,564
480170061496,596
480170061497,678
480170061498,1101
480170061499,116
480170061500,91
480170061501,816
480170061502,372
480170061503,480
480170061506,206
480170061507,732
480170061508,3320
480170061510,1670
480170061511,308
480170061512,112
480170061514,1050
480170061516,270
480170061517,407
480170061519,184
480170061520,396
480170061521,3780
480170061522,945
480170061523,784
480170061524,391
480170061525,747
480170061528,111
480170061529,1512
480170061531,2088
480170061535,1494
480170061536,2205
480170061537,868
480170061539,184
480170061540,122
480170061541,1520
480170061542,70
480170061544,2310
480170061545,27
480170061546,632
480170061547,540
480170061548,40
480170061549,364
480170061551,1365
480170061552,1211
480170061553,56
480170061554,414
480170061556,1255
480170061557,1722
480170061559,177
480170061560,513
480170061561,167
480170061562,124
480170061563,0
480170061564,250
480170061565,744
480170061567,159
480170061568,1458
480170061569,252
480170061570,405
480170061571,197
480170061572,588
480170061573,736
480170061574,328
480170061575,666
480170061576,61
480170061578,140
480170061579,212
480170061580,838
480170061581,1392
480170061582,1246
480170061583,173
480170061585,2332
480170061587,444
480170061589,732
480170061590,74
480170061593,1530
480170061594,788
480170061596,2886
480170061597,98
480170061598,2388
480170061599,183
480170061600,660
480170061601,1385
480170061602,65
480170061604,362
480170061605,58
480170061606,6828
480170061607,4
480170061608,578
480170061609,382
480170061612,538
480170061613,528
480170061616,7956
480170061619,430
480170061620,1701
480170061622,61
480170061623,1896
480170061624,230
480170061626,127
480170061629,11120
480170061630,148
480170061632,4656
480170061634,2585
480170061637,109
480170061638,126
480170061639,232
480170061640,438
480170061641,6216
480170061643,57
480170061645,9085
480170061646,3052
480170061647,1902
480170061649,2436
480170061650,198
480170061652,159
480170061653,207
480170061654,8
480170061655,532
480170061656,120
480170061659,1832
480170061660,29
480170061661,5599
480170061663,3175
480170061664,888
480170061665,252
480170061667,2994
480170061668,930
480170061669,10897
480170061670,1145
480170061672,7296
480170061673,436
480170061674,441
480170061675,234
480170061677,508
480170061681,477
480170061683,450
480170061684,4194
480170061685,0
480170061686,141
480170061688,1776
480170061689,156
480170061691,2376
480170061692,1167
480170061693,8352
480170061694,315
480170061695,390
480170061696,222
480170061697,46
480170061698,279
480170061699,1482
480170061700,668
480170061701,864
480170061704,462
480170061710,438
480170061712,361
480170061713,298
480170061714,2310
480170061715,92
480170061716,0
480170061721,99
480170061722,2568
480170061724,27
480170061732,1235
480170061734,144
480170061736,1900
480170061737,1216
480170061738,2240
480170061739,1640
480170061742,4272
480170061744,185
480170061745,99
480170061747,69
480170061750,2628
480170061752,30
480170061754,17
480170061755,2235
480170061759,193
480170061760,33
480170061764,257
480170061768,214
480170061769,28
480170061770,121
480170061771,814
480170061772,78
480170061779,345
480170061781,430
480170061782,245
480170061783,0
480170061786,450
480170061787,150
480170061792,3400
480170061793,280
480170061794,1496
480170061796,0
480170061798,476
480170061799,40
480170061804,852
480170061805,1470
480170061808,1735
480170061813,401
480170061814,406
480170061816,131
480170061817,4614
480170061819,37
480170061820,927
480170061822,288
480170061824,136
480170061826,915
480170061827,684
480170061831,212
480170061832,534
480170061834,11376
480170061838,167
480170061840,856
480170061844,876
480170061848,69
480170061850,1840
480170061853,339
480170061856,444
480170061858,830
480170061862,1248
480170061863,155
480170061866,131
480170061867,316
480170061869,178
480170061870,711
480170061873,2124
480170061877,486
480170061878,914
480170061879,116
480170061880,18696
480170061881,230
480170061884,1490
480170061885,432
480170061886,8450
480170061888,2
480170061890,450
480170061894,2205
480170061895,272
480170061896,116
480170061897,544
480170061898,96
480170061900,8082
480170061901,888
480170061902,252
480170061904,119
480170061905,263
480170061906,4664
480170061910,160
480170061911,2175
480170061912,1253
480170061914,4430
480170061915,1083
480170061921,498
480170061922,1950
480170061924,3150
480170061925,170
480170061928,609
480170061931,3003
480170061932,1680
