SEZ2011,PF1
480170060001,348
480170060004,232
480170060005,3
480170060011,144
480170060014,32
480170060031,67
480170060033,104
480170060037,89
480170060039,404
480170060044,0
480170060049,25
480170060053,54
480170060058,132
480170060059,260
480170060061,244
480170060062,2
480170060068,98
480170060070,48
480170060071,456
480170060073,35
480170060074,24
480170060079,432
480170060082,328
480170060084,4
480170060085,1195
480170060086,202
480170060087,9
480170060093,254
480170060094,172
480170060095,39
480170060096,705
480170060098,27
480170060099,1407
480170060100,276
480170060102,72
480170060106,1504
480170060110,142
480170060115,335
480170060118,119
480170060122,4
480170060123,120
480170060124,873
480170060126,64
480170060127,1976
480170060128,16
480170060132,64
480170060133,43
480170060134,36
480170060137,7
480170060139,140
480170060140,1958
480170060142,560
480170060144,38
480170060150,178
480170060151,61
480170060152,4439
480170060153,99
480170060154,260
480170060156,13
480170060157,122
480170060161,282
480170060162,3031
480170060163,100
480170060164,109
480170060165,528
480170060166,71
480170060168,0
480170060169,2
480170060171,780
480170060172,109
480170060175,995
480170060176,396
480170060177,67
480170060178,34
480170060179,115
480170060182,1692
480170060183,24
480170060184,45
480170060187,167
480170060189,484
480170060193,46
480170060194,254
480170060198,33
480170060199,1089
480170060200,7
480170060202,5
480170060204,4389
480170060206,142
480170060208,60
480170060210,510
480170060212,161
480170060214,714
480170060216,366
480170060217,376
480170060218,444
480170060219,176
480170060221,80
480170060222,4
480170060225,708
480170060227,46
480170060228,44
480170060229,5
480170060230,120
480170060233,429
480170060234,1280
480170060236,200
480170060237,2464
480170060238,0
480170060239,222
480170060241,2192
480170060243,174
480170060244,144
480170060247,11
480170060248,177
480170060251,267
480170060252,335
480170060257,284
480170060258,23
480170060259,320
480170060262,282
480170060263,380
480170060268,1430
480170060269,164
480170060270,292
480170060271,372
480170060272,202
480170060273,208
480170060274,302
480170060277,196
480170060278,363
480170060279,444
480170060280,232
480170060281,109
480170060282,2060
480170060283,2
480170060284,384
480170060286,207
480170060287,2300
480170060289,4710
480170060290,54
480170060291,570
480170060292,2755
480170060293,7303
480170060294,2520
480170060296,800
480170060299,42
480170060300,302
480170060301,0
480170060302,286
480170060306,135
480170060307,20
480170060308,5032
480170060309,2304
480170060310,852
480170060313,930
480170060314,348
480170060315,302
480170060316,31
480170060317,1215
480170060318,44
480170060320,54
480170060323,42
480170060324,110
480170060328,478
480170060329,438
480170060332,90
480170060333,5
480170060335,118
480170060336,408
480170060337,30
480170060339,492
480170060340,238
480170060341,36
480170060342,170
480170060343,2025
480170060348,532
480170060349,590
480170060350,18
480170060353,8
480170060357,756
480170060358,124
480170060360,624
480170060361,2618
480170060362,2844
480170060364,238
480170060366,315
480170060367,1066
480170060368,712
480170060369,1664
480170060370,66
480170060371,198
480170060372,226
480170060374,675
480170060376,17
480170060379,250
480170060381,9048
480170060382,504
480170060383,324
480170060384,1496
480170060385,7
480170060388,57
480170060389,67
480170060390,618
480170060391,426
480170060392,228
480170060393,4368
480170060394,343
480170060395,32
480170060397,106
480170060402,322
480170060403,2250
480170060406,1355
480170060407,160
480170060408,2304
480170060409,6030
480170060410,506
480170060412,1615
480170060415,232
480170060416,154
480170060418,370
480170060419,35
480170060420,228
480170060421,1100
480170060422,4
480170060425,5148
480170060428,28
480170060430,25
480170060431,812
480170060432,264
480170060433,2037
480170060434,108
480170060435,7540
480170060436,132795
480170060437,297
480170060440,412
480170060443,62
480170060444,1121
480170060446,558
480170060448,4080
480170060449,462
480170060450,735
480170060452,24
480170060453,141
480170060455,2114
480170060456,266
480170060458,9
480170060459,177
480170060460,17024
480170060461,125
480170060464,314
480170060465,7
480170060466,882
480170060469,142
480170060470,396
480170060471,464
480170060472,60
480170060473,830
480170060474,1331
480170060475,1632
480170060476,0
480170060477,2646
480170060478,174
480170060479,0
480170060480,1344
480170060482,28
480170060485,198
480170060488,453
480170060489,324
480170060490,53
480170060491,385
480170060492,1254
480170060493,780
480170060495,157
480170060497,120
480170060499,1691
480170060501,95
480170060502,72
480170060504,179
480170060505,255
480170060506,405
480170060507,188
480170060509,1404
480170060510,14651
480170060512,480
480170060513,650
480170060514,52
480170060515,459
480170060516,765
480170060517,36
480170060518,8
480170060521,510
480170060522,6426
480170060523,306
480170060524,170
480170060525,218
480170060526,5670
480170060527,188
480170060528,123
480170060529,38
480170060530,805
480170060531,1524
480170060533,1450
480170060534,453
480170060535,135
480170060536,2664
480170060538,168
480170060539,128
480170060540,119
480170060541,101
480170060542,1500
480170060543,151
480170060544,14
480170060545,224
480170060546,176
480170060547,735
480170060548,4
480170060551,1870
480170060554,27
480170060555,496
480170060557,2394
480170060558,504
480170060559,910
480170060560,686
480170060561,685
480170060563,1420
480170060564,72
480170060565,2136
480170060566,435
480170060568,160
480170060570,432
480170060571,703
480170060573,684
480170060574,1537
480170060576,1078
480170060577,2838
480170060578,496
480170060580,468
480170060581,1250
480170060582,399
480170060583,522
480170060584,950
480170060585,120
