census_tract_id,accommodates_on_airbnb
480170060001,22
480170060004,7
480170060005,5
480170060011,24
480170060014,2
480170060031,4
480170060033,4
480170060037,4
480170060039,5
480170060044,7
480170060049,6
480170060053,6
480170060058,10
480170060059,47
480170060061,14
480170060062,6
480170060068,10
480170060070,28
480170060071,29
480170060073,10
480170060074,2
480170060079,12
480170060082,13
480170060084,2
480170060085,13
480170060086,13
480170060087,4
480170060093,5
480170060094,21
480170060095,12
480170060096,15
480170060098,38
480170060099,20
480170060100,13
480170060102,10
480170060106,23
480170060110,5
480170060115,24
480170060118,7
480170060122,2
480170060123,26
480170060124,12
480170060126,5
480170060127,12
480170060128,4
480170060132,16
480170060133,3
480170060134,6
480170060137,4
480170060139,2
480170060140,34
480170060142,33
480170060144,2
480170060150,8
480170060151,2
480170060152,91
480170060153,10
480170060154,14
480170060156,3
480170060157,6
480170060161,14
480170060162,46
480170060163,17
480170060164,4
480170060165,28
480170060166,2
480170060168,11
480170060169,3
480170060171,43
480170060172,3
480170060175,14
480170060176,11
480170060177,2
480170060178,8
480170060179,2
480170060182,43
480170060183,2
480170060184,31
480170060187,5
480170060189,19
480170060193,7
480170060194,5
480170060198,8
480170060199,23
480170060200,4
480170060202,2
480170060204,77
480170060206,3
480170060208,17
480170060210,16
480170060212,2
480170060214,18
480170060216,5
480170060217,6
480170060218,30
480170060219,2
480170060221,10
480170060222,2
480170060225,11
480170060227,4
480170060228,4
480170060229,2
480170060230,7
480170060233,7
480170060234,28
480170060236,9
480170060237,31
480170060238,4
480170060239,24
480170060241,56
480170060243,4
480170060244,4
480170060247,6
480170060248,10
480170060251,13
480170060252,3
480170060257,4
480170060258,4
480170060259,22
480170060262,9
480170060263,24
480170060268,39
480170060269,15
480170060270,6
480170060271,14
480170060272,3
480170060273,27
480170060274,5
480170060277,8
480170060278,6
480170060279,21
480170060280,4
480170060281,2
480170060282,28
480170060283,2
480170060284,21
480170060286,6
480170060287,178
480170060289,100
480170060290,5
480170060291,83
480170060292,111
480170060293,272
480170060294,31
480170060296,21
480170060299,9
480170060300,3
480170060301,33
480170060302,3
480170060306,2
480170060307,11
480170060308,56
480170060309,18
480170060310,21
480170060313,16
480170060314,10
480170060315,7
480170060316,2
480170060317,30
480170060318,2
480170060320,4
480170060323,21
480170060324,24
480170060328,5
480170060329,8
480170060332,4
480170060333,2
480170060335,6
480170060336,7
480170060337,30
480170060339,38
480170060340,22
480170060341,14
480170060342,9
480170060343,28
480170060348,2
480170060349,5
480170060350,4
480170060353,14
480170060357,21
480170060358,7
480170060360,37
480170060361,73
480170060362,122
480170060364,6
480170060366,31
480170060367,46
480170060368,28
480170060369,57
480170060370,6
480170060371,43
480170060372,6
480170060374,55
480170060376,4
480170060379,6
480170060381,191
480170060382,46
480170060383,32
480170060384,83
480170060385,3
480170060388,1
480170060389,6
480170060390,15
480170060391,5
480170060392,5
480170060393,79
480170060394,25
480170060395,2
480170060397,4
480170060402,31
480170060403,132
480170060406,16
480170060407,12
480170060408,53
480170060409,159
480170060410,35
480170060412,90
480170060415,6
480170060416,28
480170060418,19
480170060419,42
480170060420,9
480170060421,107
480170060422,9
480170060425,120
480170060428,36
480170060430,4
480170060431,53
480170060432,30
480170060433,112
480170060434,121
480170060435,105
480170060436,857
480170060437,38
480170060440,13
480170060443,5
480170060444,94
480170060446,12
480170060448,114
480170060449,21
480170060450,57
480170060452,16
480170060453,4
480170060455,26
480170060456,71
480170060458,2
480170060459,4
480170060460,239
480170060461,2
480170060464,5
480170060465,2
480170060466,34
480170060469,4
480170060470,8
480170060471,12
480170060472,40
480170060473,16
480170060474,33
480170060475,162
480170060476,4
480170060477,152
480170060478,8
480170060479,71
480170060480,78
480170060482,13
480170060485,12
480170060488,6
480170060489,23
480170060490,2
480170060491,48
480170060492,99
480170060493,63
480170060495,2
480170060497,4
480170060499,70
480170060501,24
480170060502,4
480170060504,2
480170060505,8
480170060506,37
480170060507,5
480170060509,112
480170060510,174
480170060512,9
480170060513,67
480170060514,6
480170060515,7
480170060516,10
480170060517,16
480170060518,5
480170060521,34
480170060522,122
480170060523,27
480170060524,55
480170060525,10
480170060526,214
480170060527,8
480170060528,6
480170060529,101
480170060530,33
480170060531,23
480170060533,123
480170060534,12
480170060535,38
480170060536,31
480170060538,32
480170060539,20
480170060540,2
480170060541,4
480170060542,77
480170060543,4
480170060544,23
480170060545,65
480170060546,2
480170060547,66
480170060548,10
480170060551,103
480170060554,38
480170060555,10
480170060557,70
480170060558,32
480170060559,289
480170060560,57
480170060561,19
480170060563,32
480170060564,3
480170060565,110
480170060566,81
480170060568,6
480170060570,64
480170060571,78
480170060573,50
480170060574,210
480170060576,26
480170060577,200
480170060578,6
480170060580,8
480170060581,121
480170060582,7
480170060583,44
480170060584,80
480170060585,16
480170060586,62
480170060588,75
480170060589,142
480170060590,30
480170060591,47
480170060592,31
480170060593,96
480170060594,12
480170060595,49
480170060597,90
480170060598,5
480170060599,91
480170060600,1
480170060601,21
480170060602,8
480170060603,68
480170060604,6
480170060605,82
480170060606,190
480170060607,37
480170060608,59
480170060609,61
480170060612,19
480170060613,18
480170060614,57
480170060615,10
480170060616,8
480170060617,60
480170060619,65
480170060620,12
480170060621,37
480170060622,108
480170060623,54
480170060624,5
480170060625,41
480170060626,112
480170060628,75
480170060629,58
480170060630,45
480170060631,35
480170060632,37
480170060633,4
480170060634,7
480170060635,11
480170060636,18
480170060639,14
480170060640,16
480170060641,54
480170060642,141
480170060643,87
480170060644,63
480170060645,17
480170060646,14
480170060647,21
480170060648,54
480170060649,14
480170060650,128
480170060652,69
480170060653,83
480170060654,59
480170060655,45
480170060656,5
480170060659,36
480170060660,67
480170060661,2
480170060662,41
480170060663,19
480170060664,19
480170060665,27
480170060666,20
480170060667,34
480170060668,39
480170060669,33
480170060671,113
480170060673,52
480170060674,58
480170060675,10
480170060676,12
480170060677,6
480170060678,4
480170060681,5
480170060682,108
480170060683,67
480170060684,8
480170060685,55
480170060686,11
480170060687,18
480170060689,17
480170060690,8
480170060691,10
480170060692,15
480170060693,72
480170060694,49
480170060695,6
480170060699,10
480170060700,81
480170060701,59
480170060702,36
480170060703,25
480170060704,10
480170060705,25
480170060706,44
480170060707,47
480170060709,36
480170060710,22
480170060711,76
480170060712,2
480170060713,44
480170060714,9
480170060715,47
480170060717,16
480170060718,16
480170060719,4
480170060720,18
480170060721,35
480170060722,4
480170060724,24
480170060725,24
480170060726,4
480170060727,2
480170060728,2
480170060730,30
480170060731,45
480170060732,13
480170060733,2
480170060734,113
480170060735,43
480170060738,19
480170060740,40
480170060741,27
480170060743,32
480170060746,57
480170060747,95
480170060748,40
480170060750,35
480170060751,8
480170060752,27
480170060753,40
480170060754,82
480170060755,80
480170060756,60
480170060757,44
480170060758,43
480170060759,4
480170060760,54
480170060761,20
480170060762,7
480170060763,171
480170060764,14
480170060765,3
480170060766,12
480170060767,19
480170060768,19
480170060771,36
480170060772,12
480170060774,6
480170060775,7
480170060777,44
480170060779,23
480170060781,75
480170060782,94
480170060783,10
480170060784,2
480170060785,18
480170060787,70
480170060789,29
480170060790,18
480170060791,56
480170060793,18
480170060795,19
480170060796,38
480170060798,105
480170060799,60
480170060800,44
480170060801,4
480170060802,11
480170060803,45
480170060804,164
480170060807,1
480170060809,17
480170060810,36
480170060812,82
480170060815,118
480170060816,6
480170060817,35
480170060818,303
480170060819,15
480170060820,2
480170060821,6
480170060822,56
480170060823,10
480170060824,8
480170060825,59
480170060826,6
480170060827,2
480170060828,14
480170060829,62
480170060830,4
480170060831,2
480170060833,33
480170060835,25
480170060836,47
480170060837,13
480170060838,74
480170060839,25
480170060840,17
480170060841,20
480170060842,144
480170060843,20
480170060844,46
480170060845,4
480170060846,70
480170060847,111
480170060848,4
480170060850,4
480170060851,27
480170060852,4
480170060855,27
480170060858,6
480170060859,5
480170060861,64
480170060862,3
480170060863,2
480170060864,26
480170060865,77
480170060866,35
480170060867,77
480170060870,11
480170060873,16
480170060874,89
480170060877,32
480170060878,4
480170060879,72
480170060881,25
480170060883,51
480170060884,14
480170060886,65
480170060887,21
480170060888,82
480170060890,6
480170060891,2
480170060892,1
480170060895,94
480170060896,9
480170060897,149
480170060899,6
480170060902,32
480170060906,17
480170060907,16
480170060908,13
480170060910,12
480170060911,9
480170060912,2
480170060915,6
480170060916,286
480170060917,29
480170060918,98
480170060919,144
480170060920,8
480170060921,9
480170060922,4
480170060924,44
480170060927,3
480170060928,20
480170060930,72
480170060931,19
480170060932,3
480170060933,7
480170060934,158
480170060935,17
480170060936,22
480170060937,44
480170060938,6
480170060940,4
480170060943,87
480170060944,7
480170060945,30
480170060947,133
480170060948,58
480170060949,26
480170060950,7
480170060952,14
480170060953,9
480170060954,7
480170060955,6
480170060957,29
480170060958,8
480170060960,17
480170060961,102
480170060963,6
480170060964,10
480170060966,114
480170060967,15
480170060969,131
480170060971,17
480170060973,51
480170060974,10
480170060975,2
480170060976,3
480170060977,5
480170060979,4
480170060983,10
480170060984,126
480170060985,9
480170060986,29
480170060988,15
480170060990,2
480170060991,4
480170060992,76
480170060994,6
480170060995,359
480170060996,19
480170060998,4
480170060999,14
480170061000,2
480170061001,15
480170061002,114
480170061003,9
480170061004,93
480170061005,13
480170061006,2
480170061007,6
480170061009,6
480170061010,76
480170061011,380
480170061013,3
480170061014,15
480170061017,168
480170061018,6
480170061019,4
480170061021,2
480170061023,14
480170061025,133
480170061026,6
480170061035,8
480170061036,2
480170061037,6
480170061039,2
480170061040,2
480170061043,10
480170061044,65
480170061045,326
480170061049,12
480170061050,85
480170061051,6
480170061053,31
480170061055,42
480170061057,4
480170061058,73
480170061061,5
480170061064,101
480170061065,2
480170061066,101
480170061068,14
480170061069,125
480170061070,22
480170061071,224
480170061072,2
