census_tract_id,bedrooms_on_airbnb
480170060001,12.0
480170060004,4.0
480170060005,2.0
480170060011,9.0
480170060014,1.0
480170060031,2.0
480170060033,2.0
480170060037,1.0
480170060039,2.0
480170060044,2.0
480170060049,2.0
480170060053,2.0
480170060058,6.0
480170060059,18.0
480170060061,7.0
480170060062,3.0
480170060068,5.0
480170060070,10.0
480170060071,10.0
480170060073,4.0
480170060074,0.0
480170060079,5.0
480170060082,6.0
480170060084,1.0
480170060085,5.0
480170060086,6.0
480170060087,2.0
480170060093,2.0
480170060094,9.0
480170060095,4.0
480170060096,6.0
480170060098,24.0
480170060099,9.0
480170060100,6.0
480170060102,3.0
480170060106,9.0
480170060110,3.0
480170060115,11.0
480170060118,3.0
480170060122,1.0
480170060123,11.0
480170060124,5.0
480170060126,2.0
480170060127,4.0
480170060128,2.0
480170060132,7.0
480170060133,1.0
480170060134,2.0
480170060137,1.0
480170060139,1.0
480170060140,13.0
480170060142,13.0
480170060144,1.0
480170060150,3.0
480170060151,1.0
480170060152,36.0
480170060153,5.0
480170060154,5.0
480170060156,1.0
480170060157,3.0
480170060161,5.0
480170060162,26.0
480170060163,8.0
480170060164,1.0
480170060165,11.0
480170060166,2.0
480170060168,5.0
480170060169,1.0
480170060171,14.0
480170060172,1.0
480170060175,6.0
480170060176,4.0
480170060177,1.0
480170060178,3.0
480170060179,1.0
480170060182,16.0
480170060183,1.0
480170060184,10.0
480170060187,3.0
480170060189,6.0
480170060193,4.0
480170060194,2.0
480170060198,4.0
480170060199,11.0
480170060200,1.0
480170060202,1.0
480170060204,30.0
480170060206,1.0
480170060208,8.0
480170060210,6.0
480170060212,1.0
480170060214,10.0
480170060216,2.0
480170060217,2.0
480170060218,20.0
480170060219,1.0
480170060221,5.0
480170060222,1.0
480170060225,5.0
480170060227,2.0
480170060228,1.0
480170060229,1.0
480170060230,3.0
480170060233,3.0
480170060234,9.0
480170060236,3.0
480170060237,15.0
480170060238,1.0
480170060239,8.0
480170060241,22.0
480170060243,2.0
480170060244,2.0
480170060247,3.0
480170060248,4.0
480170060251,6.0
480170060252,1.0
480170060257,2.0
480170060258,1.0
480170060259,10.0
480170060262,5.0
480170060263,10.0
480170060268,15.0
480170060269,7.0
480170060270,3.0
480170060271,6.0
480170060272,2.0
480170060273,7.0
480170060274,3.0
480170060277,3.0
480170060278,1.0
480170060279,10.0
480170060280,2.0
480170060281,1.0
480170060282,15.0
480170060283,1.0
480170060284,8.0
480170060286,2.0
480170060287,63.0
480170060289,36.0
480170060290,2.0
480170060291,32.0
480170060292,41.0
480170060293,104.0
480170060294,11.0
480170060296,9.0
480170060299,3.0
480170060300,2.0
480170060301,13.0
480170060302,2.0
480170060306,1.0
480170060307,4.0
480170060308,22.0
480170060309,9.0
480170060310,10.0
480170060313,7.0
480170060314,3.0
480170060315,2.0
480170060316,0.0
480170060317,12.0
480170060318,1.0
480170060320,2.0
480170060323,9.0
480170060324,14.0
480170060328,2.0
480170060329,3.0
480170060332,2.0
480170060333,1.0
480170060335,2.0
480170060336,3.0
480170060337,12.0
480170060339,16.0
480170060340,8.0
480170060341,7.0
480170060342,3.0
480170060343,10.0
480170060348,1.0
480170060349,2.0
480170060350,1.0
480170060353,5.0
480170060357,9.0
480170060358,3.0
480170060360,17.0
480170060361,29.0
480170060362,49.0
480170060364,2.0
480170060366,11.0
480170060367,18.0
480170060368,12.0
480170060369,18.0
480170060370,3.0
480170060371,18.0
480170060372,3.0
480170060374,19.0
480170060376,2.0
480170060379,2.0
480170060381,71.0
480170060382,17.0
480170060383,14.0
480170060384,35.0
480170060385,1.0
480170060388,0.0
480170060389,2.0
480170060390,5.0
480170060391,2.0
480170060392,2.0
480170060393,35.0
480170060394,9.0
480170060395,1.0
480170060397,2.0
480170060402,12.0
480170060403,56.0
480170060406,5.0
480170060407,6.0
480170060408,20.0
480170060409,63.0
480170060410,12.0
480170060412,29.0
480170060415,2.0
480170060416,12.0
480170060418,8.0
480170060419,11.0
480170060420,3.0
480170060421,33.0
480170060422,4.0
480170060425,42.0
480170060428,14.0
480170060430,3.0
480170060431,23.0
480170060432,11.0
480170060433,45.0
480170060434,42.0
480170060435,40.0
480170060436,335.0
480170060437,15.0
480170060440,5.0
480170060443,3.0
480170060444,32.0
480170060446,5.0
480170060448,46.0
480170060449,6.0
480170060450,22.0
480170060452,7.0
480170060453,1.0
480170060455,10.0
480170060456,31.0
480170060458,1.0
480170060459,1.0
480170060460,88.0
480170060461,1.0
480170060464,1.0
480170060465,1.0
480170060466,14.0
480170060469,1.0
480170060470,3.0
480170060471,4.0
480170060472,16.0
480170060473,3.0
480170060474,14.0
480170060475,57.0
480170060476,2.0
480170060477,51.0
480170060478,3.0
480170060479,28.0
480170060480,26.0
480170060482,5.0
480170060485,5.0
480170060488,3.0
480170060489,10.0
480170060490,1.0
480170060491,18.0
480170060492,36.0
480170060493,23.0
480170060495,1.0
480170060497,2.0
480170060499,29.0
480170060501,7.0
480170060502,1.0
480170060504,0.0
480170060505,3.0
480170060506,12.0
480170060507,2.0
480170060509,40.0
480170060510,65.0
