CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,A46,A47,PF1,E3,E27
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060001","60001","32","10002","3","251","20","92","116","40","126"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060002","60002","32","10002","3","15","3","3","7","4","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060003","60003","32","10002","3","20","1","7","8","1","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060004","60004","32","10002","3","253","22","80","116","40","138"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060005","60005","32","10002","3","3","2","0","3","1","14"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060006","60006","32","10002","3","161","13","52","69","17","66"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060007","60007","32","10002","3","377","6","131","157","29","163"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060008","60008","32","10002","3","20","1","9","10","2","11"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060009","60009","32","10002","3","21","1","7","11","6","10"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060010","60010","32","10002","3","95","3","35","40","14","50"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060011","60011","0","40002","3","91","7","19","36","36","63"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060012","60012","32","10002","3","77","2","26","29","20","35"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060013","60013","32","10002","3","18","0","7","7","4","6"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060014","60014","32","10002","3","68","6","24","32","9","24"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060015","60015","32","10002","3","115","3","39","45","21","45"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060016","60016","32","10002","3","34","3","13","16","13","20"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060017","60017","32","10002","3","139","6","48","66","12","61"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060018","60018","32","10002","3","142","5","61","71","20","77"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060019","60019","32","10002","3","38","20","1","21","1","14"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060020","60020","32","10002","3","127","7","44","55","11","55"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060021","60021","32","10002","3","66","22","0","25","4","36"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060022","60022","32","10002","3","169","9","57","74","19","73"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060023","60023","32","10002","3","46","25","0","25","4","36"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060024","60024","32","10002","3","39","17","0","17","3","17"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060025","60025","32","10002","3","132","7","45","57","11","55"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060026","60026","32","10002","3","101","1","35","40","2","38"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060027","60027","32","10002","3","90","45","1","46","6","46"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060028","60028","32","10002","3","4","0","1","1","1","1"
