host_location,frequency
AU,9.996001599360256e-05
"Abbadia San Salvatore, Toscana, Italy",9.996001599360256e-05
"Abu Dhabi, Abu Dhabi, United Arab Emirates",0.00019992003198720512
"Agliana, Toscana, Italy",9.996001599360256e-05
"Agliana, Tuscany, Italy",0.00019992003198720512
"Albinia, Tuscany, Italy",0.0002998800479808077
"Allende, Veracruz, Mexico",9.996001599360256e-05
"Almaty, Almaty Province, Kazakhstan",9.996001599360256e-05
"Altopascio, Toscana, Italy",9.996001599360256e-05
"Amsterdam, North Holland, Netherlands",0.00019992003198720512
"Ancona, Marche, Italy",9.996001599360256e-05
"Angrogna, Piemonte, Italy",9.996001599360256e-05
"Ann Arbor, Michigan, United States",9.996001599360256e-05
"Antella, Tuscany, Italy",9.996001599360256e-05
"Arcadia, Florida, United States",9.996001599360256e-05
"Arcidosso, Tuscany, Italy",9.996001599360256e-05
"Arezzo, Tuscany, Italy",0.0005997600959616154
Argentina,0.00019992003198720512
"Arlington, Virginia, United States",9.996001599360256e-05
"Asciano, Toscana, Italy",0.0012994802079168333
"Austin, Texas, United States",9.996001599360256e-05
Australia,9.996001599360256e-05
Austria,9.996001599360256e-05
"Avellino, Campania, Italy",9.996001599360256e-05
BO,0.00019992003198720512
"Bagni di Lucca, Tuscany, Italy",0.00019992003198720512
"Bagno A Ripoli, Toscana, Italy",0.0009996001599360256
"Bagno A Ripoli, Tuscany, Italy",9.996001599360256e-05
"Bagno a Ripoli, Tuscany, Italy",0.00429828068772491
"Barberino Tavarnelle, Tuscany, Italy",0.0002998800479808077
"Barberino Val D'elsa, Toscana, Italy",9.996001599360256e-05
"Barcelona, Catalonia, Spain",0.00019992003198720512
"Barletta, Apulia, Italy",9.996001599360256e-05
"Basel, Basel City, Switzerland",9.996001599360256e-05
"Bassano del Grappa, Veneto, Italy",9.996001599360256e-05
"Berkeley, California, United States",9.996001599360256e-05
"Berlin, Berlin, Germany",0.00039984006397441024
"Bibbiena, Tuscany, Italy",0.00019992003198720512
"Bijeljina, Republika Srpska, Bosnia and Herzegovina",9.996001599360256e-05
"Bivigliano, Toscana, Italy",9.996001599360256e-05
"Bologna, Emilia-Romagna, Italy",0.002299080367852859
"Borgo San Lorenzo, Tuscany, Italy",9.996001599360256e-05
"Boston, Massachusetts, United States",0.0005997600959616154
"Bottai, Tuscany, Italy",9.996001599360256e-05
"Boulder, Colorado, United States",9.996001599360256e-05
"Brescia, Lombardy, Italy",9.996001599360256e-05
"Brindisi, Apulia, Italy",9.996001599360256e-05
"Broncigliano, Tuscany, Italy",0.00019992003198720512
"Brooklyn, New York, United States",9.996001599360256e-05
"Brussels, Brussels, Belgium",0.0002998800479808077
"Bucharest, Bucharest, Romania",0.00019992003198720512
"Budapest, Budapest, Hungary",9.996001599360256e-05
"Buenos Aires, Buenos Aires, Argentina",9.996001599360256e-05
"Cagliari, Sardegna, Italy",9.996001599360256e-05
"Calci, Tuscany, Italy",9.996001599360256e-05
"Calenzano, Tuscany, Italy",0.0002998800479808077
