host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"100018893","1","1","1","1","0","0","2"
"100183302","1","1","1","1","0","3","6"
"100257371","1","8","1","0","1","1","2"
"100323570","1","1","1","1","0","2","6"
"10035731","1","3","1","1","1","2","5"
"100459731","2","16","2","2","2","2","8"
"100462927","5","40","5","5","5","6","16"
"10066186","1","1","1","1","0","1","4"
"10070498","1","2","1","1","0","1","3"
"100790210","1","1","1","1","0","1","4"
"1008798","4","24","4","0","4","4","8"
"100969817","1","1","1","1","0","2","5"
"10097819","1","1","1","1","0","1","2"
"101038604","1","1","1","1","0","2","6"
"101069255","1","1","1","0","0","1","2"
"101109307","1","1","1","1","0","1","2"
"101123884","1","1","1","1","0","1","4"
"101232849","1","0","0","1","0","1","4"
"101240757","1","0","1","1","0","2","4"
"10124696","1","1","1","1","0","1","4"
"101264939","15","300","13","13","15","28","65"
"101312425","2","2","2","0","0","2","2"
"1013874","1","1","1","1","0","1","3"
"101693299","5","25","5","5","5","7","23"
"10170058","1","2","1","1","0","2","3"
"101812680","4","16","4","4","4","4","15"
"10204131","5","25","5","4","5","3","16"
"102071615","4","4","4","0","0","4","8"
"1020979","1","1","1","1","0","2","4"
"102192764","1","1","1","1","0","1","2"
"10234410","1","1","1","1","0","1","4"
"102454129","1","1","1","1","0","2","6"
"10256194","5","15","5","4","5","14","28"
"10259596","1","1","1","1","0","1","4"
"102600169","1","1","1","1","0","1","3"
"102625927","2","2","2","2","0","2","4"
"1026276","1","1","1","0","0","3","3"
"10267824","9","18","9","1","0","8","15"
"10271229","1","2","1","1","0","1","4"
"102714675","1","3","1","1","1","2","6"
"102716438","1","1","1","1","0","1","4"
"10273072","1","0","0","1","0","1","3"
"102846559","1","0","1","1","0","1","4"
"102853829","1","1","1","1","0","1","4"
"10289542","4","24","4","4","4","5","18"
"102969140","1","1","1","1","0","1","4"
"102996138","1","1","1","1","0","1","4"
"10307534","2","8","2","1","2","6","12"
"103140987","2","2","2","2","0","3","8"
"103194908","1","2","1","1","0","1","4"
"10319701","1","1","1","1","0","2","6"
"10327894","1","0","1","1","0","2","3"
"10329151","1","2","1","1","0","4","7"
"103295702","1","1","1","1","0","2","4"
"103296100","1","2","1","1","0","1","4"
"10331584","1","1","1","1","0","1","2"
"103332496","4","36","4","4","4","4","13"
"1033412","1","1","1","0","0","1","2"
"10334738","1","1","1","1","0","1","2"
"1034057","2","8","2","2","2","2","8"
"1034151","2","4","2","1","0","3","6"
"10344161","1","3","1","0","1","1","2"
"1035711","1","2","1","1","0","1","2"
"103691796","1","1","1","1","0","1","2"
"103754073","1","1","1","1","0","1","4"
"103801635","4","4","4","4","0","4","12"
"103807056","1","1","1","1","0","1","4"
"103827275","2","4","2","1","0","3","3"
"10384194","1","1","1","1","0","2","4"
"10408876","2","8","2","0","2","2","4"
"10408989","1","1","1","1","0","2","4"
"104096848","1","2","1","1","0","3","5"
"104102143","1","1","1","1","0","1","4"
"10414710","2","2","2","2","0","3","7"
"10415569","1","0","1","0","0","1","2"
"104201751","1","1","1","0","0","1","2"
"104347215","1","1","1","1","0","2","4"
"104399148","2","4","0","2","0","2","8"
"104440621","1","1","1","0","0","1","1"
"104469156","3","9","3","2","3","4","8"
"104490239","1","1","1","1","0","1","5"
"104497992","1","1","1","1","0","2","4"
"10455086","1","2","1","1","0","4","8"
"104665459","2","6","2","2","2","2","6"
"104689334","1","1","1","1","0","1","2"
"10474294","1","5","1","1","1","2","4"
"104771564","1","1","1","1","0","3","6"
"104795614","1","1","1","1","0","3","5"
"10480777","3","9","3","3","3","4","10"
"104912075","1","1","1","1","0","3","5"
"104920769","1","1","1","1","0","1","2"
"10495019","1","2","1","1","0","1","4"
"10499877","1","1","1","1","0","1","2"
"10502199","1","1","1","1","0","1","4"
"10506595","2","4","2","0","0","2","3"
"105185178","1","1","1","1","0","1","4"
"105193921","1","0","1","1","0","1","3"
"105195157","1","1","1","1","0","3","5"
"105202233","3","12","3","3","3","4","14"
"10521008","1","1","1","1","0","0","2"
"105324079","1","1","1","1","0","2","5"
"105337549","1","1","1","0","0","0","1"
"105415368","2","4","2","0","0","2","4"
"105475670","2","4","2","2","0","3","12"
"10548598","2","4","2","2","0","3","6"
"105617860","3","9","3","0","3","3","7"
"105673782","1","1","1","1","0","2","6"
"105714146","4","16","4","2","4","6","10"
"10572361","1","1","1","1","0","1","4"
"10579947","1","3","1","1","1","1","3"
"105804212","1","1","1","1","0","1","3"
"10582734","1","1","1","1","0","2","5"
"10601027","2","2","2","2","0","3","8"
"106142100","1","1","1","1","0","1","4"
"106172148","1","1","1","1","0","2","6"
"10617769","1","1","1","1","0","1","2"
"106289037","1","1","1","1","0","2","3"
"106391716","1","0","1","1","0","0","2"
"10648078","2","4","2","2","0","2","6"
"10650896","2","4","2","2","0","4","10"
"106709840","1","1","1","1","0","1","4"
"106716865","1","1","1","1","0","1","4"
"106793109","1","1","1","1","0","3","5"
"10688748","1","1","1","1","0","3","5"
"106904706","1","0","1","1","0","1","3"
"10691906","1","1","1","1","0","3","6"
"106989322","1","1","1","1","0","3","9"
"107010827","3","21","3","0","3","3","6"
"10707878","1","2","1","1","0","1","4"
"10708445","1","1","1","1","0","1","4"
"107114517","14","210","14","10","14","20","49"
"107130052","1","0","1","1","0","1","2"
"107217276","1","1","1","1","0","1","4"
"107235553","1","1","1","1","0","3","6"
"107259705","1","1","1","1","0","1","2"
"107265946","2","2","2","2","0","2","8"
"107337163","4","40","4","4","4","6","15"
"107427712","1","1","1","1","0","3","8"
"107566831","1","1","1","1","0","2","5"
"10773010","3","9","3","0","3","3","6"
"107745177","1","1","1","1","0","1","2"
"107752325","1","0","1","0","0","1","2"
"107870729","1","1","1","1","0","1","4"
"107902634","1","0","1","1","0","1","2"
"108005659","1","1","1","1","0","3","7"
"108053582","1","1","1","1","0","1","3"
"108119383","1","0","1","1","0","3","6"
"108179442","1","15","1","1","1","1","4"
"108228855","2","0","2","2","0","2","8"
"10825033","1","1","1","1","0","1","4"
"108449428","2","4","2","2","0","2","4"
"108519065","1","1","1","1","0","2","5"
"108653697","4","12","4","0","4","5","8"
"108677599","1","1","1","1","0","1","4"
"10867823","1","1","1","1","0","1","4"
"108687914","1","1","1","1","0","1","2"
"10871006","1","1","1","1","0","1","3"
"108822998","4","12","4","0","4","4","8"
"108823286","1","2","1","1","0","0","2"
"10888948","1","1","1","1","0","1","2"
"108989672","1","1","1","1","0","2","5"
"10907601","8","16","8","2","0","10","25"
"1090891","1","1","1","1","0","1","2"
"109121892","1","3","1","1","1","1","4"
"1091607","4","24","4","1","4","6","12"
"1091803","1","1","1","0","0","1","1"
"109218403","2","0","2","0","0","3","4"
"109243561","1","2","1","0","0","1","1"
"10926673","1","0","1","1","0","1","5"
"10928614","9","90","9","9","9","16","43"
"109420424","2","2","2","2","0","3","6"
"10944260","1","1","1","1","0","3","5"
"109455096","1","2","1","1","0","1","2"
"10950750","1","1","1","1","0","1","2"
"10964262","1","1","1","1","0","1","4"
"10965225","2","4","2","2","0","3","11"
"109730251","1","1","1","1","0","3","5"
"109846839","4","16","4","4","4","6","19"
"10990422","10","2060","10","10","10","21","49"
"10992509","3","18","3","1","3","4","12"
"109957923","1","377","1","1","1","1","5"
"109957995","1","18","1","1","1","2","6"
"109977324","1","1","1","1","0","1","2"
"110034272","1","1","1","0","0","1","2"
"11007660","1","1","1","1","0","1","2"
"110110179","1","0","1","1","0","0","4"
"11041675","1","1","1","1","0","3","6"
"110438072","1","1","1","1","0","1","3"
"11046813","2","16","2","2","2","2","8"
"11048632","1","2","1","1","0","4","7"
"11065786","7","63","7","7","7","13","32"
"110662602","1","1","1","0","0","1","2"
"11066570","1","1","1","1","0","3","6"
"110756862","1","1","1","1","0","2","6"
"110974954","1","1","1","1","0","1","4"
"111011928","2","4","2","2","0","2","7"
"111067049","1","1","1","1","0","3","7"
"111136910","2","4","2","2","0","6","12"
"111266136","1","1","1","1","0","2","4"
"11127796","1","1","1","1","0","3","5"
"111419427","1","1","1","0","0","1","1"
"111465026","1","0","1","0","0","1","2"
"11157074","1","1","1","0","0","1","4"
"111624564","1","1","1","0","0","1","2"
"111690550","1","1","1","0","0","1","2"
"111716708","2","4","2","2","0","3","10"
"111765421","1","8","1","1","1","3","10"
"111795735","1","1","0","1","0","1","4"
"111908811","2","6","2","2","2","9","20"
"111920722","1","1","1","1","0","2","4"
"112204966","1","3","1","0","1","1","4"
"112235660","1","1","1","1","0","2","4"
"11232268","1","2","1","0","0","1","2"
"1123662","2","4","2","2","0","3","5"
"11236933","1","1","1","1","0","1","4"
