host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates,rounded_revenue,days_rented
"100018893","1","1","1","1","0","0","2","7599","122"
"100183302","1","1","1","1","0","3","6","2080","26"
"100257371","1","8","1","0","1","1","2","824","22"
"100323570","1","1","1","1","0","2","6","3120","18"
"10035731","1","3","1","1","1","2","5","0","0"
"100459731","2","16","2","2","2","2","8","2718","44"
"100462927","5","40","5","5","5","6","16","0","0"
"10066186","1","1","1","1","0","1","4","2139","29"
"10070498","1","2","1","1","0","1","3","6518","100"
"100790210","1","1","1","1","0","1","4","0","0"
"1008798","4","24","4","0","4","4","8","0","0"
"100969817","1","1","1","1","0","2","5","1857","18"
"10097819","1","1","1","1","0","1","2","0","0"
"101038604","1","1","1","1","0","2","6","0","0"
"101069255","1","1","1","0","0","1","2","0","0"
"101109307","1","1","1","1","0","1","2","0","0"
"101123884","1","1","1","1","0","1","4","2971","29"
"101232849","1","0","0","1","0","1","4","1983","22"
"101240757","1","0","1","1","0","2","4","0","0"
"10124696","1","1","1","1","0","1","4","297","3"
"101264939","15","300","13","13","15","28","65","77898","847"
"101312425","2","2","2","0","0","2","2","445","14"
"1013874","1","1","1","1","0","1","3","1872","29"
"101693299","5","25","5","5","5","7","23","630","9"
"10170058","1","2","1","1","0","2","3","4078","33"
"101812680","4","16","4","4","4","4","15","15168","199"
"10204131","5","25","5","4","5","3","16","0","0"
"102071615","4","4","4","0","0","4","8","371","3"
"1020979","1","1","1","1","0","2","4","6418","44"
"102192764","1","1","1","1","0","1","2","490","11"
"10234410","1","1","1","1","0","1","4","0","0"
"102454129","1","1","1","1","0","2","6","2674","29"
"10256194","5","15","5","4","5","14","28","24795","147"
"10259596","1","1","1","1","0","1","4","0","0"
"102600169","1","1","1","1","0","1","3","0","0"
"102625927","2","2","2","2","0","2","4","82961","441"
"1026276","1","1","1","0","0","3","3","0","0"
"10267824","9","18","9","1","0","8","15","1383","72"
"10271229","1","2","1","1","0","1","4","19789","178"
"102714675","1","3","1","1","1","2","6","2674","22"
"102716438","1","1","1","1","0","1","4","0","0"
"10273072","1","0","0","1","0","1","3","15035","163"
"102846559","1","0","1","1","0","1","4","0","0"
"102853829","1","1","1","1","0","1","4","1690","18"
"10289542","4","24","4","4","4","5","18","408","3"
"102969140","1","1","1","1","0","1","4","3342","55"
"102996138","1","1","1","1","0","1","4","0","0"
"10307534","2","8","2","1","2","6","12","0","0"
"103140987","2","2","2","2","0","3","8","0","0"
"103194908","1","2","1","1","0","1","4","0","0"
"10319701","1","1","1","1","0","2","6","1950","18"
"10327894","1","0","1","1","0","2","3","2050","29"
"10329151","1","2","1","1","0","4","7","0","0"
"103295702","1","1","1","1","0","2","4","0","0"
"103296100","1","2","1","1","0","1","4","5460","111"
"10331584","1","1","1","1","0","1","2","0","0"
"103332496","4","36","4","4","4","4","13","593","10"
"1033412","1","1","1","0","0","1","2","832","26"
"10334738","1","1","1","1","0","1","2","3342","92"
"1034057","2","8","2","2","2","2","8","2778","40"
"1034151","2","4","2","1","0","3","6","0","0"
"10344161","1","3","1","0","1","1","2","0","0"
"1035711","1","2","1","1","0","1","2","0","0"
"103691796","1","1","1","1","0","1","2","0","0"
"103754073","1","1","1","1","0","1","4","8914","74"
"103801635","4","4","4","4","0","4","12","1656","7"
"103807056","1","1","1","1","0","1","4","0","0"
"103827275","2","4","2","1","0","3","3","0","0"
"10384194","1","1","1","1","0","2","4","0","0"
"10408876","2","8","2","0","2","2","4","20982","635"
"10408989","1","1","1","1","0","2","4","0","0"
"104096848","1","2","1","1","0","3","5","1916","14"
"104102143","1","1","1","1","0","1","4","0","0"
"10414710","2","2","2","2","0","3","7","661","7"
"10415569","1","0","1","0","0","1","2","167","3"
"104201751","1","1","1","0","0","1","2","0","0"
"104347215","1","1","1","1","0","2","4","1987","18"
"104399148","2","4","0","2","0","2","8","8932","137"
"104440621","1","1","1","0","0","1","1","546","11"
"104469156","3","9","3","2","3","4","8","9126","100"
"104490239","1","1","1","1","0","1","5","5382","78"
"104497992","1","1","1","1","0","2","4","0","0"
"10455086","1","2","1","1","0","4","8","0","0"
"104665459","2","6","2","2","2","2","6","3454","115"
"104689334","1","1","1","1","0","1","2","0","0"
"10474294","1","5","1","1","1","2","4","2228","3"
"104771564","1","1","1","1","0","3","6","0","0"
"104795614","1","1","1","1","0","3","5","11388","78"
"10480777","3","9","3","3","3","4","10","482","7"
"104912075","1","1","1","1","0","3","5","0","0"
"104920769","1","1","1","1","0","1","2","0","0"
"10495019","1","2","1","1","0","1","4","3068","52"
"10499877","1","1","1","1","0","1","2","0","0"
"10502199","1","1","1","1","0","1","4","0","0"
"10506595","2","4","2","0","0","2","3","312","14"
"105185178","1","1","1","1","0","1","4","0","0"
"105193921","1","0","1","1","0","1","3","1448","11"
"105195157","1","1","1","1","0","3","5","0","0"
"105202233","3","12","3","3","3","4","14","8259","80"
"10521008","1","1","1","1","0","0","2","0","0"
"105324079","1","1","1","1","0","2","5","0","0"
"105337549","1","1","1","0","0","0","1","0","0"
"105415368","2","4","2","0","0","2","4","0","0"
"105475670","2","4","2","2","0","3","12","8044","103"
"10548598","2","4","2","2","0","3","6","0","0"
"105617860","3","9","3","0","3","3","7","6060","221"
"105673782","1","1","1","1","0","2","6","0","0"
"105714146","4","16","4","2","4","6","10","0","0"
"10572361","1","1","1","1","0","1","4","0","0"
"10579947","1","3","1","1","1","1","3","0","0"
"105804212","1","1","1","1","0","1","3","7766","152"
"10582734","1","1","1","1","0","2","5","7198","70"
"10601027","2","2","2","2","0","3","8","10838","66"
"106142100","1","1","1","1","0","1","4","3476","89"
"106172148","1","1","1","1","0","2","6","0","0"
"10617769","1","1","1","1","0","1","2","635","11"
"106289037","1","1","1","1","0","2","3","713","3"
"106391716","1","0","1","1","0","0","2","2841","63"
"10648078","2","4","2","2","0","2","6","0","0"
"10650896","2","4","2","2","0","4","10","24373","126"
"106709840","1","1","1","1","0","1","4","0","0"
"106716865","1","1","1","1","0","1","4","1021","18"
"106793109","1","1","1","1","0","3","5","928","3"
"10688748","1","1","1","1","0","3","5","0","0"
"106904706","1","0","1","1","0","1","3","3955","55"
"10691906","1","1","1","1","0","3","6","0","0"
"106989322","1","1","1","1","0","3","9","0","0"
"107010827","3","21","3","0","3","3","6","0","0"
"10707878","1","2","1","1","0","1","4","404","3"
"10708445","1","1","1","1","0","1","4","445","7"
"107114517","14","210","14","10","14","20","49","1336","6"
"107130052","1","0","1","1","0","1","2","1040","26"
"107217276","1","1","1","1","0","1","4","2897","37"
"107235553","1","1","1","1","0","3","6","1337","7"
"107259705","1","1","1","1","0","1","2","0","0"
"107265946","2","2","2","2","0","2","8","5534","77"
"107337163","4","40","4","4","4","6","15","25444","314"
"107427712","1","1","1","1","0","3","8","0","0"
"107566831","1","1","1","1","0","2","5","0","0"
"10773010","3","9","3","0","3","3","6","0","0"
"107745177","1","1","1","1","0","1","2","2507","18"
"107752325","1","0","1","0","0","1","2","0","0"
"107870729","1","1","1","1","0","1","4","0","0"
"107902634","1","0","1","1","0","1","2","5720","104"
"108005659","1","1","1","1","0","3","7","6537","40"
"108053582","1","1","1","1","0","1","3","0","0"
"108119383","1","0","1","1","0","3","6","5200","37"
"108179442","1","15","1","1","1","1","4","7421","137"
"108228855","2","0","2","2","0","2","8","0","0"
"10825033","1","1","1","1","0","1","4","282","3"
"108449428","2","4","2","2","0","2","4","1767","103"
"108519065","1","1","1","1","0","2","5","1508","26"
"108653697","4","12","4","0","4","5","8","0","0"
"108677599","1","1","1","1","0","1","4","4457","55"
"10867823","1","1","1","1","0","1","4","445","7"
"108687914","1","1","1","1","0","1","2","0","0"
"10871006","1","1","1","1","0","1","3","0","0"
"108822998","4","12","4","0","4","4","8","1878","36"
"108823286","1","2","1","1","0","0","2","3758","81"
"10888948","1","1","1","1","0","1","2","0","0"
"108989672","1","1","1","1","0","2","5","4160","29"
"10907601","8","16","8","2","0","10","25","23345","246"
"1090891","1","1","1","1","0","1","2","0","0"
"109121892","1","3","1","1","1","1","4","0","0"
"1091607","4","24","4","1","4","6","12","1908","40"
"1091803","1","1","1","0","0","1","1","193","3"
"109218403","2","0","2","0","0","3","4","545","14"
"109243561","1","2","1","0","0","1","1","0","0"
"10926673","1","0","1","1","0","1","5","0","0"
"10928614","9","90","9","9","9","16","43","6826","54"
"109420424","2","2","2","2","0","3","6","7049","48"
"10944260","1","1","1","1","0","3","5","0","0"
"109455096","1","2","1","1","0","1","2","245","3"
"10950750","1","1","1","1","0","1","2","0","0"
"10964262","1","1","1","1","0","1","4","1961","29"
"10965225","2","4","2","2","0","3","11","3286","81"
"109730251","1","1","1","1","0","3","5","0","0"
"109846839","4","16","4","4","4","6","19","26400","296"
"10990422","10","2060","10","10","10","21","49","0","0"
"10992509","3","18","3","1","3","4","12","4073","84"
"109957923","1","377","1","1","1","1","5","0","0"
"109957995","1","18","1","1","1","2","6","5460","37"
"109977324","1","1","1","1","0","1","2","12535","92"
"110034272","1","1","1","0","0","1","2","0","0"
"11007660","1","1","1","1","0","1","2","1040","37"
"110110179","1","0","1","1","0","0","4","1604","22"
"11041675","1","1","1","1","0","3","6","0","0"
"110438072","1","1","1","1","0","1","3","0","0"
"11046813","2","16","2","2","2","2","8","0","0"
"11048632","1","2","1","1","0","4","7","1961","7"
"11065786","7","63","7","7","7","13","32","27726","165"
"110662602","1","1","1","0","0","1","2","0","0"
"11066570","1","1","1","1","0","3","6","16112","66"
"110756862","1","1","1","1","0","2","6","3380","37"
"110974954","1","1","1","1","0","1","4","17048","167"
"111011928","2","4","2","2","0","2","7","2217","29"
"111067049","1","1","1","1","0","3","7","5200","3"
"111136910","2","4","2","2","0","6","12","57701","230"
"111266136","1","1","1","1","0","2","4","765","3"
"11127796","1","1","1","1","0","3","5","0","0"
"111419427","1","1","1","0","0","1","1","0","0"
"111465026","1","0","1","0","0","1","2","0","0"
