SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060001,"251","20","92","116","40","126",480170060001,3609.210033389999808,183780.157193999999436,"1656","6041089",https://www.airbnb.com/rooms/6041089,2021/12/17,Borgo Certosa - Florence,"18149550",Stefano,2014/07/15,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.730260000000001,11.221000000000000,Entire home/apt,"4",1.000000000000000,65.000000000000000,"28","58","88","363","0","0",,f,"1",0.160000000000000
480170060002,"15","3","3","7","4","8",480170060002,139.328385790999988,910.416553522999948,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060003,"20","1","7","8","1","8",480170060003,332.033373449999999,5874.969467429999895,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060004,"253","22","80","116","40","138",480170060004,1218.794771769999898,78767.994413499996881,"3744","17798290",https://www.airbnb.com/rooms/17798290,2021/12/17,Appartamento luminoso 10 min dal centro,"25048641",Margherita,2014/12/21,"Florence, Tuscany, Italy","2",Gavinana Galluzzo,43.735030000000002,11.224299999999999,Entire home/apt,"5",3.000000000000000,70.000000000000000,"27","57","87","177","0","0",,f,"2",
480170060005,"3","2","0","3","1","14",480170060005,398.197557664999977,9825.547557019999658,"6935","35140676",https://www.airbnb.com/rooms/35140676,2021/12/17,La Casa di Claudia in Florence,"228871715",Simona,2018/12/03,"Florence, Tuscany, Italy","1",Gavinana Galluzzo,43.736339999999998,11.225140000000000,Entire home/apt,"5",2.000000000000000,114.000000000000000,"27","57","87","255","1","0",,f,"1",0.130000000000000
480170060006,"161","13","52","69","17","66",480170060006,649.800781859000040,17007.136484800001199,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060007,"377","6","131","157","29","163",480170060007,1774.784472860000051,146377.791788000002271,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060008,"20","1","9","10","2","11",480170060008,462.731054138999980,11745.757715900001131,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060009,"21","1","7","11","6","10",480170060009,440.121279448999985,11927.495920199999091,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060010,"95","3","35","40","14","50",480170060010,513.027534438999965,12093.306501200000639,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060011,"91","7","19","36","36","63",480170060011,5312.040870810000342,777320.323020000010729,"3233","15267029",https://www.airbnb.com/rooms/15267029,2021/12/17,SWEET GARDEN VILLA DEI GELSOMINI,"57601757",Mariarita,2016/02/06,"Milan, Lombardy, Italy","4",Gavinana Galluzzo,43.741959999999999,11.244579999999999,Entire home/apt,"4",2.000000000000000,62.000000000000000,"0","14","44","319","0","0",,f,"4",0.050000000000000
480170060012,"77","2","26","29","20","35",480170060012,747.640487039000050,17592.037874199999351,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060013,"18","0","7","7","4","6",480170060013,278.039103389999980,3754.632944810000026,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060014,"68","6","24","32","9","24",480170060014,336.918683733000023,5153.564407060000121,"1030","3299228",https://www.airbnb.com/rooms/3299228,2021/12/17,"Bella stanza moderna, arredo antico","16663857",Baerbel,2014/06/11,"Basel, Basel City, Switzerland","1",Gavinana Galluzzo,43.737369999999999,11.224539999999999,Private room,"2",1.000000000000000,65.000000000000000,"0","14","44","319","0","0",,f,"1",0.300000000000000
480170060015,"115","3","39","45","21","45",480170060015,514.848007466000013,12857.455108399999517,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060016,"34","3","13","16","13","20",480170060016,374.521727365000004,8341.638546469999710,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060017,"139","6","48","66","12","61",480170060017,452.821284342000013,8535.948307250000653,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060018,"142","5","61","71","20","77",480170060018,687.000451812000051,16369.081150899999557,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060019,"38","20","1","21","1","14",480170060019,89.845131763799998,532.430501036000010,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060020,"127","7","44","55","11","55",480170060020,302.512094099000024,4764.019168259999788,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060021,"66","22","0","25","4","36",480170060021,268.498226488999990,4264.730208529999800,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060022,"169","9","57","74","19","73",480170060022,745.985154033999947,25377.997882200001186,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060023,"46","25","0","25","4","36",480170060023,230.514943482999996,3393.826425849999850,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060024,"39","17","0","17","3","17",480170060024,225.612366976000004,2687.693119349999961,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060025,"132","7","45","57","11","55",480170060025,578.863156234000030,13105.723690400000123,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060026,"101","1","35","40","2","38",480170060026,429.772932458000014,10863.652728600000046,,,,,,,,,,,,,,,,,,,,,,,,,,,
