SEZ2011,AGG_COUNT,bedrooms,E27,E3,listing_building_rate,bedroom_apartments_rate
480170060001,3,12,378,120,2.5,3.1746031746031744
480170060004,2,4,276,80,2.5,1.4492753623188406
480170060005,1,2,14,1,100.0,14.285714285714285
480170060011,4,9,252,144,2.7777777777777777,3.571428571428571
480170060014,1,1,24,9,11.11111111111111,4.166666666666666
480170060031,1,2,97,24,4.166666666666666,2.0618556701030926
480170060033,1,2,118,61,1.639344262295082,1.694915254237288
480170060037,1,1,92,17,5.88235294117647,1.0869565217391304
480170060039,2,2,408,112,1.7857142857142856,0.49019607843137253
480170060044,2,2,18,6,33.33333333333333,11.11111111111111
480170060049,1,2,23,7,14.285714285714285,8.695652173913043
480170060053,1,2,53,16,6.25,3.7735849056603774
480170060058,2,6,248,106,1.8867924528301887,2.4193548387096775
480170060059,13,18,832,286,4.545454545454546,2.1634615384615383
480170060061,4,7,332,92,4.3478260869565215,2.108433734939759
480170060062,2,3,4,4,50.0,75.0
480170060068,1,5,124,58,1.7241379310344827,4.032258064516129
480170060070,6,10,48,24,25.0,20.833333333333336
480170060071,4,10,520,160,2.5,1.9230769230769231
480170060073,1,4,38,18,5.555555555555555,10.526315789473683
480170060074,1,0,24,4,25.0,0.0
480170060079,3,5,420,81,3.7037037037037033,1.1904761904761905
480170060082,4,6,364,72,5.555555555555555,1.6483516483516485
480170060084,1,1,4,3,33.33333333333333,25.0
480170060085,5,5,1225,195,2.564102564102564,0.40816326530612246
480170060086,2,6,192,66,3.0303030303030303,3.125
480170060087,1,2,20,11,9.090909090909092,10.0
480170060093,2,2,288,82,2.4390243902439024,0.6944444444444444
480170060094,4,9,256,88,4.545454545454546,3.515625
480170060095,3,4,69,36,8.333333333333332,5.797101449275362
480170060096,5,6,720,300,1.6666666666666667,0.8333333333333334
480170060098,3,24,39,15,20.0,61.53846153846154
480170060099,7,9,1267,462,1.5151515151515151,0.7103393843725335
480170060100,4,6,260,92,4.3478260869565215,2.307692307692308
480170060102,2,3,84,42,4.761904761904762,3.571428571428571
480170060106,8,9,1584,504,1.5873015873015872,0.5681818181818182
480170060110,2,3,204,80,2.5,1.4705882352941175
480170060115,5,11,345,160,3.125,3.1884057971014492
480170060118,1,3,121,41,2.4390243902439024,2.479338842975207
480170060122,1,1,3,2,50.0,33.33333333333333
480170060123,5,11,290,135,3.7037037037037033,3.793103448275862
480170060124,3,5,972,240,1.25,0.51440329218107
480170060126,1,2,80,15,6.666666666666667,2.5
480170060127,4,4,1940,332,1.2048192771084338,0.2061855670103093
480170060128,1,2,16,7,14.285714285714285,12.5
480170060132,4,7,124,92,4.3478260869565215,5.64516129032258
480170060133,1,1,48,7,14.285714285714285,2.083333333333333
480170060134,2,2,62,36,5.555555555555555,3.225806451612903
480170060137,1,1,5,4,25.0,20.0
480170060139,1,1,132,16,6.25,0.7575757575757576
480170060140,11,13,1793,880,1.25,0.7250418293363079
480170060142,10,13,750,360,2.7777777777777777,1.7333333333333332
480170060144,1,1,46,5,20.0,2.1739130434782608
480170060150,2,3,186,6,33.33333333333333,1.6129032258064515
480170060151,1,1,59,1,100.0,1.694915254237288
480170060152,23,36,4324,1127,2.0408163265306123,0.8325624421831638
480170060153,3,5,120,21,14.285714285714285,4.166666666666666
480170060154,5,5,260,120,4.166666666666666,1.9230769230769231
480170060156,1,1,17,9,11.11111111111111,5.88235294117647
480170060157,2,3,138,42,4.761904761904762,2.1739130434782608
480170060161,3,5,294,204,1.4705882352941175,1.7006802721088436
480170060162,7,26,3115,644,1.0869565217391304,0.8346709470304976
480170060163,4,8,136,32,12.5,5.88235294117647
480170060164,1,1,113,5,20.0,0.8849557522123894
480170060165,8,11,696,360,2.2222222222222223,1.5804597701149428
480170060166,1,2,79,4,25.0,2.5316455696202533
480170060168,1,5,0,0,n/a,n/a
480170060169,1,1,2,1,100.0,50.0
480170060171,12,14,912,252,4.761904761904762,1.5350877192982455
480170060172,1,1,108,5,20.0,0.9259259259259258
480170060175,5,6,1195,80,6.25,0.502092050209205
480170060176,4,4,308,96,4.166666666666666,1.2987012987012987
480170060177,1,1,61,6,16.666666666666664,1.639344262295082
480170060178,2,3,38,10,20.0,7.894736842105263
480170060179,1,1,121,4,25.0,0.8264462809917356
480170060182,12,16,1680,264,4.545454545454546,0.9523809523809524
480170060183,1,1,30,14,7.142857142857142,3.3333333333333335
480170060184,5,10,75,40,12.5,13.333333333333334
480170060187,1,3,157,9,11.11111111111111,1.910828025477707
480170060189,4,6,492,132,3.0303030303030303,1.2195121951219512
480170060193,2,4,62,44,4.545454545454546,6.451612903225806
480170060194,2,2,242,56,3.571428571428571,0.8264462809917356
480170060198,1,4,32,15,6.666666666666667,12.5
480170060199,9,11,1206,279,3.225806451612903,0.9121061359867331
480170060200,1,1,9,1,100.0,11.11111111111111
480170060202,1,1,24,6,16.666666666666664,4.166666666666666
480170060204,19,30,3857,1254,1.5151515151515151,0.77780658542909
480170060206,1,1,146,21,4.761904761904762,0.684931506849315
480170060208,3,8,138,51,5.88235294117647,5.797101449275362
480170060210,3,6,642,96,3.125,0.9345794392523363
480170060212,1,1,124,13,7.6923076923076925,0.8064516129032258
480170060214,6,10,780,168,3.571428571428571,1.282051282051282
480170060216,2,2,302,44,4.545454545454546,0.6622516556291391
480170060217,2,2,364,76,2.631578947368421,0.5494505494505495
480170060218,6,20,456,186,3.225806451612903,4.385964912280701
480170060219,1,1,265,30,3.3333333333333335,0.37735849056603776
480170060221,2,5,110,54,3.7037037037037033,4.545454545454546
480170060222,1,1,13,11,9.090909090909092,7.6923076923076925
480170060225,4,5,672,100,4.0,0.744047619047619
480170060227,2,2,48,34,5.88235294117647,4.166666666666666
480170060228,1,1,43,8,12.5,2.3255813953488373
480170060229,1,1,5,3,33.33333333333333,20.0
480170060230,3,3,123,60,5.0,2.4390243902439024
480170060233,3,3,342,105,2.857142857142857,0.8771929824561403
480170060234,8,9,1344,536,1.4925373134328357,0.6696428571428571
480170060236,2,3,202,66,3.0303030303030303,1.4851485148514851
480170060237,11,15,2794,891,1.2345679012345678,0.5368647100930566
480170060238,1,1,0,0,n/a,n/a
480170060239,6,8,252,126,4.761904761904762,3.1746031746031744
480170060241,16,22,1984,704,2.272727272727273,1.1088709677419355
480170060243,1,2,174,12,8.333333333333332,1.1494252873563218
480170060244,2,2,116,40,5.0,1.7241379310344827
480170060247,1,3,11,1,100.0,27.27272727272727
480170060248,3,4,201,81,3.7037037037037033,1.9900497512437811
480170060251,3,6,270,147,2.0408163265306123,2.2222222222222223
480170060252,1,1,323,31,3.225806451612903,0.30959752321981426
480170060257,2,2,302,98,2.0408163265306123,0.6622516556291391
480170060258,1,1,23,8,12.5,4.3478260869565215
480170060259,5,10,400,95,5.263157894736842,2.5
480170060262,3,5,336,69,4.3478260869565215,1.488095238095238
480170060263,5,10,625,130,3.8461538461538463,1.6
480170060268,10,15,1490,690,1.4492753623188406,1.006711409395973
480170060269,4,7,160,40,10.0,4.375
480170060270,2,3,278,74,2.7027027027027026,1.079136690647482
480170060271,4,6,372,100,4.0,1.6129032258064515
480170060272,2,2,282,40,5.0,0.7092198581560284
480170060273,8,7,248,72,11.11111111111111,2.82258064516129
480170060274,2,3,318,46,4.3478260869565215,0.9433962264150944
480170060277,2,3,190,74,2.7027027027027026,1.5789473684210527
480170060278,3,1,339,60,5.0,0.2949852507374631
480170060279,6,10,396,54,11.11111111111111,2.525252525252525
480170060280,2,2,280,24,8.333333333333332,0.7142857142857143
480170060281,1,1,138,18,5.555555555555555,0.7246376811594203
480170060282,10,15,2230,330,3.0303030303030303,0.672645739910314
480170060283,1,1,2,1,100.0,50.0
480170060284,6,8,672,78,7.6923076923076925,1.1904761904761905
480170060286,1,2,194,11,9.090909090909092,1.0309278350515463
480170060287,46,63,3312,736,6.25,1.9021739130434785
480170060289,30,36,5460,990,3.0303030303030303,0.6593406593406593
480170060290,2,2,50,14,14.285714285714285,4.0
480170060291,19,32,627,171,11.11111111111111,5.103668261562999
480170060292,29,41,2900,696,4.166666666666666,1.4137931034482758
480170060293,67,104,9581,1474,4.545454545454546,1.0854816824966078
480170060294,10,11,2930,350,2.857142857142857,0.37542662116040953
480170060296,5,9,665,205,2.4390243902439024,1.3533834586466165
480170060299,2,3,64,14,14.285714285714285,4.6875
480170060300,2,2,274,16,12.5,0.7299270072992701
480170060301,11,13,11,11,100.0,n/a
480170060302,2,2,332,20,10.0,0.6024096385542169
480170060306,1,1,157,29,3.4482758620689653,0.6369426751592357
480170060307,4,4,24,8,50.0,16.666666666666664
