,count,mean,std,min,25%,50%,75%,max
listings_count_excluding_florence,10016.0,21.136781150159745,77.98848220056924,0.0,1.0,2.0,8.0,1507.0
listings_count_florence,10016.0,11.424920127795527,28.047847179356125,1.0,1.0,2.0,7.0,172.0
accommodates,10016.0,3.790834664536741,2.0560978951375017,0.0,2.0,4.0,4.0,16.0
bedrooms,9683.0,1.5288650211711245,0.9665272822082724,1.0,1.0,1.0,2.0,27.0
total_reviews_last_12_months,10016.0,5.77835463258786,11.186870680177366,0.0,0.0,0.0,6.0,184.0
total_reviews_last_30_days,10016.0,0.49450878594249204,1.2562652962574474,0.0,0.0,0.0,0.0,15.0
lifetime_review_monthly_rate,8224.0,1.3077480544747084,1.420170102411039,0.01,0.25,0.81,1.94,11.09
est_days_rented,10016.0,21.462460063897762,41.5512339549445,0.0,0.0,0.0,22.285714285714285,683.4285714285716
est_revenue_year,10016.0,1844.0019458865818,5637.334569721996,0.0,0.0,0.0,1838.57,347657.14
is_hotel,10016.0,0.01807108626198083,0.1332152164649798,0.0,0.0,0.0,0.0,1.0
is_entire,10016.0,0.7692691693290735,0.4213215366866912,0.0,1.0,1.0,1.0,1.0
many_listings,10016.0,0.49530750798722045,0.500002940867577,0.0,0.0,0.0,1.0,1.0
only_1_listing,10016.0,0.2690694888178914,0.4434982938620964,0.0,0.0,0.0,1.0,1.0
only_2_listings,10016.0,0.1319888178913738,0.3384955087745915,0.0,0.0,0.0,0.0,1.0
host_florence,10016.0,0.6701277955271565,0.4701899677083424,0.0,0.0,1.0,1.0,1.0
has_license,10016.0,0.05880591054313099,0.23527282443183994,0.0,0.0,0.0,0.0,1.0
is_instant_bookable,10016.0,0.6134185303514377,0.48699067247685296,0.0,0.0,1.0,1.0,1.0
